"","chrom","start","end","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1126","chr1",936322,936323,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1127","chr1",936339,936340,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"1128","chr1",936345,936346,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"1129","chr1",936422,936423,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1130","chr1",936447,936448,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"1131","chr1",936467,936468,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1132","chr1",936474,936475,"0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"1133","chr1",942225,942226,"6","6","4","2","4","3","6","6","3","6","5","6","6","6","6","6","4","0","6","6","3","4","6","2","4","3","3","6","5","5","6","6","6","5","6","6","6","6","6","5","6","6","6","6","6","6","1","6","5","5","6","1","6","6","6","6","3","1","6","3"
"1160","chr1",999647,999648,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"1161","chr1",999678,999679,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"1","chr1",1005617,1005618,"0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","0","2","2","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","1","0","0","0","0","5","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","2"
"2","chr1",1005710,1005711,"6","5","6","6","6","6","3","5","6","5","6","5","5","6","6","3","6","4","6","6","6","5","6","6","5","3","6","6","6","5","2","3","6","6","6","6","6","6","6","5","6","6","3","6","6","5","6","5","3","6","3","5","6","6","6","6","6","6","5","6"
"3","chr1",1010138,1010139,"6","4","3","6","5","6","6","6","6","6","6","5","6","6","6","6","6","3","6","6","1","6","5","5","6","5","5","4","5","6","4","3","4","6","6","6","6","6","6","6","6","5","6","4","6","6","6","6","3","5","6","6","6","6","6","5","6","6","6","6"
"8","chr1",1061093,1061094,"6","6","6","6","6","5","6","6","6","5","6","6","6","6","5","4","6","5","6","6","6","6","6","4","6","6","5","6","6","4","6","6","5","6","0","6","6","6","5","6","6","6","5","6","6","6","6","6","6","5","3","6","4","6","6","6","6","1","6","6"
"9","chr1",1065732,1065733,"2","6","6","6","4","4","5","6","6","6","6","5","6","3","0","5","6","4","6","4","2","6","3","6","6","6","5","6","6","6","6","6","5","6","5","6","6","3","5","6","0","6","6","6","6","6","3","6","6","1","6","6","5","6","6","6","1","6","5","6"
"13","chr1",1070258,1070259,"6","6","3","5","6","6","6","3","2","6","6","6","4","6","6","6","5","6","6","6","6","6","4","6","6","6","6","6","6","6","6","6","5","3","6","6","5","6","6","5","6","6","5","6","6","6","6","6","6","6","6","6","6","6","4","6","6","5","6","6"
"85","chr1",1206371,1206372,"6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","2","5","5","6","6","6","6","6","6","6","6","6"
"86","chr1",1206389,1206390,"6","6","6","6","5","6","6","6","5","6","6","5","6","6","6","6","6","6","6","6","6","6","5","6","6","5","6","6","6","5","6","6","6","6","6","6","6","6","5","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"89","chr1",1217578,1217579,"0","1","1","5","0","0","3","0","3","0","2","2","0","0","3","3","2","6","4","4","5","0","0","2","6","5","1","0","0","4","2","3","5","4","5","0","3","0","0","5","2","0","3","0","4","0","0","3","4","3","0","3","6","6","4","6","0","0","6","0"
"90","chr1",1217601,1217602,"0","2","6","1","6","6","6","4","6","6","5","5","3","6","6","5","6","6","6","3","6","1","6","5","6","5","6","6","6","3","1","6","3","6","6","5","6","3","5","6","4","5","4","5","5","6","4","5","4","4","6","6","6","2","1","5","6","6","6","6"
"98","chr1",1368711,1368712,"4","5","4","4","6","3","2","3","2","2","5","4","6","6","3","4","6","5","0","0","6","2","6","4","3","6","6","3","6","2","3","0","0","6","6","0","1","0","5","1","3","6","1","0","3","1","0","0","6","6","4","2","3","0","0","0","1","4","4","3"
"99","chr1",1368718,1368719,"0","1","2","0","0","0","0","3","5","2","0","0","0","1","0","0","3","0","0","1","0","5","0","0","2","0","0","0","0","2","0","1","0","0","0","1","2","6","0","3","1","0","0","0","0","0","0","0","0","0","4","5","1","2","0","1","0","2","0","0"
"100","chr1",1368776,1368777,"4","6","5","0","4","1","4","1","3","2","5","2","0","1","2","5","6","4","2","1","3","0","2","6","4","3","5","2","0","2","5","6","0","0","1","3","3","1","4","0","5","0","0","1","5","6","6","5","0","6","5","5","1","0","2","6","5","4","4","5"
"101","chr1",1368795,1368796,"5","5","6","1","1","5","6","2","5","5","1","6","3","6","6","6","3","4","5","4","6","5","6","6","3","6","6","2","6","6","6","5","3","2","6","6","0","4","6","5","3","6","4","5","2","6","6","6","0","6","2","6","6","3","2","6","6","5","0","0"
"110","chr1",1487265,1487266,"5","4","6","6","5","2","6","6","6","6","6","3","6","3","3","6","6","2","6","5","6","6","1","6","5","2","4","6","6","6","5","6","6","5","6","6","3","4","6","6","3","6","6","5","3","4","5","6","2","6","6","6","6","6","6","6","6","3","4","1"
"269","chr1",1714471,1714472,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6"
"397","chr1",2045681,2045682,"6","6","6","5","6","6","6","5","6","6","6","6","5","6","6","6","6","6","6","5","4","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5"
"406","chr1",2071401,2071402,"0","0","0","0","0","0","0","1","0","3","1","0","1","0","0","1","4","0","2","1","0","0","0","3","5","0","0","0","0","0","0","0","0","0","6","3","0","0","0","1","0","0","3","0","0","0","0","3","0","0","4","0","4","4","0","0","1","0","0","0"
"422","chr1",2130468,2130469,"0","6","4","6","0","6","6","2","2","6","6","6","6","6","6","6","6","4","3","6","4","6","5","6","6","5","6","6","6","6","6","5","5","6","3","0","5","6","6","6","5","5","6","6","6","4","6","6","3","5","6","5","2","6","6","3","5","6","6","6"
"430","chr1",2162892,2162893,"5","5","2","3","2","6","6","6","0","5","6","4","6","6","0","6","3","6","6","6","6","6","2","6","4","6","6","6","6","6","6","2","6","5","6","5","5","5","6","6","6","4","6","6","3","2","4","6","3","6","6","6","4","4","2","6","6","4","6","6"
"431","chr1",2163436,2163437,"6","0","6","4","6","4","6","6","5","6","6","6","5","6","5","6","5","6","3","5","5","6","6","6","6","3","4","6","6","6","6","5","6","6","6","6","6","6","2","5","6","6","4","6","6","5","6","6","4","6","1","5","6","6","6","5","6","5","6","6"
"432","chr1",2163471,2163472,"6","6","6","5","6","4","4","2","5","5","5","5","6","1","4","6","6","3","5","5","2","5","6","1","6","6","5","6","5","6","6","6","5","6","4","6","6","6","3","4","6","5","6","6","6","6","5","4","1","5","6","6","5","6","5","4","4","5","6","6"
"434","chr1",2165628,2165629,"6","6","2","6","5","6","6","6","6","6","6","5","4","6","6","6","6","6","5","4","6","4","6","6","6","5","5","6","6","5","6","6","6","6","6","6","6","5","6","6","6","5","6","6","4","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"440","chr1",2188051,2188052,"6","6","6","6","6","6","5","6","6","6","5","5","5","6","6","6","6","5","6","6","6","6","6","6","6","3","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","3","5","6","5","6","6","6","5","6","6","6","6","6","5","6","6","6"
"441","chr1",2188703,2188704,"6","6","5","4","6","6","5","6","6","6","6","5","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","5","6","6","6","6","6","6","5","6","5","4","5","6","5","6","6","6","5","6","6","6","6","6","6","5","5","5"
"442","chr1",2188754,2188755,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","3","6","6","6","5","6","6","5","6","5","6","6","6","6","6","5","6","6","6","6","6","6","6","6","4","5","6","5","6","6"
"443","chr1",2188766,2188767,"5","6","6","6","6","6","6","4","6","6","6","6","6","6","6","6","3","6","6","6","5","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","5","6","5","6","6","5","6","5","6","4","0","6","6","5","6","5","5","6","6","5","6","6","6","6"
"449","chr1",2205528,2205529,"6","6","6","6","6","6","6","5","5","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","5","6","6","5","6","6","6","6","6","5","6","6","4","6","6","6","6","6","6","6","6","6","6","6","6","6"
"450","chr1",2205572,2205573,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","5","5","6","6","6","6","6","6","6","6","6","5","6","6"
"451","chr1",2205936,2205937,"6","6","6","5","6","6","5","6","5","6","6","6","6","6","6","6","6","3","6","5","6","6","6","6","6","6","6","6","6","6","5","6","5","6","6","6","6","6","5","6","6","6","6","6","6","6","5","5","6","6","6","6","6","6","6","6","6","5","6","6"
"452","chr1",2205942,2205943,"6","6","5","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","5","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6"
"453","chr1",2205944,2205945,"6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","4","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","4","6","6","6","6","6","6"
"459","chr1",2220496,2220497,"6","6","5","5","6","6","3","6","6","6","6","6","6","6","6","6","6","5","6","5","5","6","6","6","5","5","6","4","6","6","6","4","6","2","1","5","6","6","6","3","6","4","5","6","6","6","6","6","6","6","3","6","6","6","6","6","6","4","5","6"
"460","chr1",2220575,2220576,"4","6","5","6","6","5","6","6","5","2","6","5","6","4","6","6","4","6","5","6","5","4","6","6","6","6","6","6","3","6","6","6","6","6","6","6","6","6","6","6","5","6","5","6","6","6","6","6","5","1","6","5","6","6","6","6","5","6","5","6"
"461","chr1",2224769,2224770,"6","6","6","6","6","6","6","6","6","6","5","6","6","5","6","6","6","6","5","6","6","6","6","6","6","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","4","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"464","chr1",2236357,2236358,"6","6","6","6","5","6","6","6","6","6","6","5","6","5","5","6","5","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","5","6","6","5","6","6","6","6","6","6","2","6","6","6","6","5","6","6","6","6","6","6","6","5","6","6","6"
"465","chr1",2236442,2236443,"6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","5","6","6","6","6","6","4","6","6","6","6","6","6","6","5","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6"
"466","chr1",2236444,2236445,"6","5","4","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"467","chr1",2236449,2236450,"6","6","6","6","6","6","6","6","5","4","6","6","6","5","6","5","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","5","6","5","6","6","6","6","6","6","6","6","6","6","6","6"
"468","chr1",2236465,2236466,"5","5","6","6","6","4","6","3","6","6","6","6","4","5","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","4","6","6","6","5","6","6","6","5","6","6","6","6","6","6","6","6"
"471","chr1",2244518,2244519,"6","5","3","4","5","6","4","6","6","6","5","5","4","6","6","6","6","5","6","6","5","6","6","6","1","6","5","6","5","6","4","6","5","6","6","6","6","6","4","1","6","4","6","6","0","6","6","6","6","6","6","4","6","5","6","6","3","6","5","6"
"571","chr1",2325785,2325786,"6","4","6","6","6","6","6","6","6","5","6","6","6","6","6","5","6","6","5","5","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","5","6","6","6","6","6","6","6","5","6","6","5","6","6","6","6","6"
"598","chr1",2349610,2349611,"2","0","2","5","0","3","4","2","0","3","3","0","4","0","0","3","0","2","4","6","0","0","4","3","2","3","6","0","1","0","3","0","0","0","0","0","0","2","2","3","0","0","2","0","2","0","3","2","0","0","5","6","0","5","6","3","2","4","1","3"
"631","chr1",2425754,2425755,"1","0","2","0","0","6","5","0","0","5","0","2","4","0","0","4","0","0","0","2","0","2","0","0","6","0","0","2","0","0","6","1","0","3","2","4","0","0","4","0","3","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3"
"632","chr1",2425802,2425803,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","0","1","0","0","0","1","3","0","2","0","0","0","0","0","0","0","0","3","0","0","2","0","0","1","3","0","0","0","0","4","0","0","0"
"633","chr1",2425828,2425829,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0"
"634","chr1",2425850,2425851,"0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","0","2","0","0","0","0","0","1","1","3","1","1","0","0","1","1","0","0","0","0"
"635","chr1",2425852,2425853,"0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","1","2","0","0","0","0","0","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","4","0","1","0","1","0","0","0","1","0","0","3","0","1","0"
"636","chr1",2425859,2425860,"0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","3","0","0"
"644","chr1",2455299,2455300,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","5","6","6","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5"
"645","chr1",2455307,2455308,"6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","6","6","6","6","5","6","6","6","6","6","6","5","6","6","6","6","6","5","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6"
"649","chr1",2473199,2473200,"6","3","2","6","6","3","5","6","6","5","3","5","5","6","5","6","6","5","0","6","5","3","5","6","4","6","4","5","4","5","0","1","6","5","6","5","2","6","0","2","0","5","3","6","6","6","6","6","4","0","6","2","6","6","6","6","6","6","0","5"
"650","chr1",2473223,2473224,"4","5","1","0","0","2","5","2","3","3","2","3","3","1","5","2","6","2","3","0","3","2","2","2","0","0","4","6","4","1","4","1","0","3","3","0","0","4","0","0","5","4","6","0","5","3","2","0","5","4","5","0","2","3","0","2","4","6","2","5"
"651","chr1",2473275,2473276,"5","6","6","6","6","3","5","6","6","3","2","6","4","6","6","6","4","3","6","6","5","5","6","6","6","4","3","5","6","2","6","6","6","6","5","6","2","6","6","1","5","6","3","6","3","2","5","6","6","6","5","6","1","6","6","6","6","6","6","4"
"655","chr1",2479107,2479108,"0","0","0","3","0","0","0","0","0","0","0","0","0","0","4","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","4","0","0","0","0","3","1","5","0","0","1","0","0","4","0","0","0","0","0","0","3","0","2"
"656","chr1",2479164,2479165,"0","0","0","6","0","6","2","0","5","0","3","6","4","2","2","4","6","5","0","0","6","1","4","2","0","3","3","2","1","0","0","0","1","4","3","0","2","4","3","0","0","1","0","2","2","2","2","3","3","4","3","6","0","3","3","0","0","0","0","0"
"659","chr1",2496552,2496553,"6","6","6","6","6","0","5","6","2","6","2","5","6","4","3","6","6","4","2","3","2","6","6","6","3","5","6","6","6","6","6","3","2","6","5","6","6","4","5","6","6","5","6","3","6","3","5","2","5","6","6","6","6","4","6","6","5","4","4","6"
"675","chr1",2561691,2561692,"6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","5","6","6","6","5","6","6","6","6","6","6","6","5","5","4","6","6","6","5","6","6","6","6","6","6","6","5","6","6","6","5","6","6","6","6","6","6","5"
"676","chr1",2561705,2561706,"5","6","6","6","6","6","6","6","4","6","5","6","6","6","6","6","6","4","6","5","4","3","6","6","6","6","6","6","6","6","6","6","4","5","6","6","3","6","6","6","5","6","4","6","6","6","1","6","6","5","5","6","5","5","6","5","6","6","5","6"
"677","chr1",2561773,2561774,"6","6","6","6","5","6","6","2","6","4","5","6","6","5","3","6","6","6","5","1","6","3","6","6","6","6","6","5","4","6","6","6","3","1","5","6","6","5","5","5","3","5","6","6","6","5","6","6","4","5","6","6","3","3","6","5","6","3","6","4"
"678","chr1",2561795,2561796,"6","6","6","6","6","6","6","6","4","6","5","6","6","6","5","4","5","5","6","6","6","6","6","6","6","6","6","5","6","5","6","6","6","6","6","6","6","4","6","6","5","6","6","6","5","6","4","5","6","6","6","6","5","6","6","6","6","6","3","4"
"679","chr1",2561823,2561824,"6","5","6","6","6","6","5","6","6","6","6","4","6","6","6","6","6","4","2","5","6","5","6","6","6","6","6","6","6","6","6","6","6","6","6","2","6","6","6","6","2","4","5","6","6","6","6","6","6","4","6","6","6","4","0","6","6","6","5","6"
