"","chrom","start","end","meth","cov","avg"
"95","chr1",1287099,1287399,11,18,0.611111111111111
"96","chr1",1365713,1366061,37,59,0.627118644067797
"97","chr1",1366061,1366409,29,38,0.763157894736842
"98","chr1",1368698,1368998,50,69,0.72463768115942
"99","chr1",1372893,1373179,37,37,1
"100","chr1",1373179,1373465,3,3,1
"101","chr1",1373541,1373841,29,31,0.935483870967742
"102","chr1",1397745,1398045,6,7,0.857142857142857
"103","chr1",1465039,1465339,17,17,1
"104","chr1",1471787,1472007,23,25,0.92
"105","chr1",1472007,1472228,47,47,1
"106","chr1",1478019,1478319,15,16,0.9375
"107","chr1",1486917,1487302,39,43,0.906976744186047
"108","chr1",1487302,1487687,21,22,0.954545454545455
"109","chr1",1490755,1491055,18,19,0.947368421052632
"110","chr1",1609862,1610162,16,16,1
"111","chr1",1610673,1610828,17,17,1
"112","chr1",1611786,1611967,7,7,1
"113","chr1",1652459,1652759,11,12,0.916666666666667
"114","chr1",1689617,1689917,29,31,0.935483870967742
"115","chr1",1690835,1691135,35,38,0.921052631578947
"116","chr1",1711435,1711735,5,5,1
"117","chr1",1712504,1712902,18,20,0.9
"118","chr1",1712902,1713301,6,8,0.75
"119","chr1",1713962,1714228,32,33,0.96969696969697
"120","chr1",1714337,1714637,24,29,0.827586206896552
"121","chr1",1714817,1715000,10,11,0.909090909090909
"122","chr1",1715000,1715184,9,9,1
"123","chr1",1758580,1758880,2,2,1
"124","chr1",1774171,1774471,5,5,1
"125","chr1",1789988,1790186,1,1,1
"126","chr1",1790186,1790385,3,5,0.6
"127","chr1",1812208,1812508,6,8,0.75
"128","chr1",1823561,1823861,15,19,0.789473684210526
"129","chr1",1825710,1826010,2,7,0.285714285714286
"130","chr1",1826097,1826397,13,36,0.361111111111111
"131","chr1",1832927,1833227,24,34,0.705882352941177
"132","chr1",1839808,1840028,11,37,0.297297297297297
"133","chr1",1851467,1851713,4,8,0.5
"134","chr1",1855058,1855222,4,15,0.266666666666667
"135","chr1",1855922,1856222,24,54,0.444444444444444
"136","chr1",1873348,1873623,53,57,0.929824561403509
"137","chr1",1874337,1874692,29,30,0.966666666666667
"138","chr1",1875821,1876014,0,22,0
"139","chr1",1878414,1878714,11,17,0.647058823529412
"140","chr1",1952908,1953083,10,10,1
"141","chr1",1974510,1974800,41,45,0.911111111111111
"142","chr1",1977640,1977940,10,14,0.714285714285714
"143","chr1",1978601,1978901,23,23,1
"144","chr1",1985349,1985649,19,19,1
"145","chr1",1992865,1993165,14,14,1
"146","chr1",2000528,2000828,15,17,0.882352941176471
"147","chr1",2043702,2044002,39,41,0.951219512195122
"148","chr1",2045531,2045831,23,24,0.958333333333333
"149","chr1",2059012,2059235,6,6,1
"150","chr1",2059863,2060163,4,4,1
"151","chr1",2064006,2064365,14,14,1
"152","chr1",2066830,2067130,7,7,1
"153","chr1",2068150,2068450,17,18,0.944444444444444
"154","chr1",2071165,2071465,0,5,0
"155","chr1",2092375,2092675,46,50,0.92
"156","chr1",2100018,2100318,21,21,1
"157","chr1",2106491,2106769,10,11,0.909090909090909
"158","chr1",2127369,2127669,15,20,0.75
"159","chr1",2130039,2130339,34,45,0.755555555555556
"160","chr1",2130429,2130729,14,25,0.56
"161","chr1",2137535,2137835,26,31,0.838709677419355
"162","chr1",2143851,2144122,1,12,0.0833333333333333
"163","chr1",2144722,2145073,29,31,0.935483870967742
"164","chr1",2146137,2146437,39,40,0.975
"165","chr1",2155577,2155877,5,5,1
"166","chr1",2162355,2162717,47,47,1
"167","chr1",2162717,2163080,57,58,0.982758620689655
"168","chr1",2163286,2163482,26,28,0.928571428571429
"169","chr1",2164391,2164571,12,13,0.923076923076923
"170","chr1",2165427,2165727,25,27,0.925925925925926
"171","chr1",2167400,2167700,28,28,1
"172","chr1",2171683,2171983,34,38,0.894736842105263
"173","chr1",2174744,2175044,35,37,0.945945945945946
"174","chr1",2179979,2180176,0,0,NA
"175","chr1",2180268,2180568,14,14,1
"176","chr1",2180569,2180869,21,23,0.91304347826087
"177","chr1",2181975,2182368,37,38,0.973684210526316
"178","chr1",2182368,2182761,8,8,1
"179","chr1",2183400,2183587,20,21,0.952380952380952
"180","chr1",2187970,2188270,31,31,1
"181","chr1",2188616,2188896,8,8,1
"182","chr1",2190699,2190999,0,0,NA
"183","chr1",2198609,2198909,4,4,1
"184","chr1",2200739,2200925,2,3,0.666666666666667
"185","chr1",2203617,2203797,5,7,0.714285714285714
"186","chr1",2205450,2205655,25,26,0.961538461538461
"187","chr1",2205751,2206051,65,65,1
"188","chr1",2207725,2208025,4,4,1
"189","chr1",2209806,2210106,5,5,1
"190","chr1",2210184,2210484,24,26,0.923076923076923
"191","chr1",2214089,2214389,7,8,0.875
"192","chr1",2218344,2218644,23,25,0.92
"193","chr1",2220166,2220400,16,19,0.842105263157895
"194","chr1",2220400,2220634,24,24,1
"195","chr1",2221656,2221956,12,15,0.8
"196","chr1",2222102,2222462,30,32,0.9375
"197","chr1",2222462,2222823,13,14,0.928571428571429
"198","chr1",2224640,2224940,38,38,1
"199","chr1",2225148,2225448,9,10,0.9
"200","chr1",2230760,2231070,49,50,0.98
"201","chr1",2231774,2232044,24,27,0.888888888888889
"202","chr1",2232044,2232315,34,34,1
"203","chr1",2234140,2234440,24,25,0.96
"204","chr1",2236292,2236545,39,40,0.975
"205","chr1",2243128,2243297,1,8,0.125
"206","chr1",2244434,2244734,32,35,0.914285714285714
"207","chr1",2246964,2247215,35,44,0.795454545454545
"208","chr1",2250272,2250559,29,30,0.966666666666667
"209","chr1",2250645,2250945,32,33,0.96969696969697
"210","chr1",2251868,2252168,23,27,0.851851851851852
"211","chr1",2252365,2252665,54,73,0.73972602739726
"212","chr1",2254067,2254230,23,28,0.821428571428571
"213","chr1",2254668,2254906,9,9,1
"214","chr1",2262772,2263072,39,51,0.764705882352941
"215","chr1",2286313,2286613,9,9,1
"216","chr1",2312324,2312624,13,13,1
"217","chr1",2318611,2318911,29,30,0.966666666666667
"218","chr1",2321876,2322060,4,9,0.444444444444444
"219","chr1",2324150,2324434,22,29,0.758620689655172
"220","chr1",2324434,2324718,9,11,0.818181818181818
"221","chr1",2325118,2325418,10,10,1
"222","chr1",2325593,2325893,24,24,1
"223","chr1",2334204,2334504,18,21,0.857142857142857
"224","chr1",2338587,2338887,12,12,1
"225","chr1",2349583,2349883,6,8,0.75
"226","chr1",2350046,2350346,7,12,0.583333333333333
"227","chr1",2365612,2365912,8,26,0.307692307692308
"228","chr1",2375968,2376268,20,32,0.625
"229","chr1",2386814,2387114,19,29,0.655172413793103
"230","chr1",2387659,2387959,48,62,0.774193548387097
"231","chr1",2413554,2413854,5,7,0.714285714285714
"232","chr1",2425709,2425986,7,74,0.0945945945945946
"233","chr1",2432909,2433209,27,28,0.964285714285714
"234","chr1",2434064,2434364,18,19,0.947368421052632
"235","chr1",2441861,2442161,28,29,0.96551724137931
"236","chr1",2447725,2448025,20,21,0.952380952380952
"237","chr1",2448326,2448626,17,19,0.894736842105263
"238","chr1",2454660,2454960,17,19,0.894736842105263
"239","chr1",2455113,2455413,34,34,1
"240","chr1",2456287,2456587,14,16,0.875
"241","chr1",2458496,2458796,3,9,0.333333333333333
"242","chr1",2462059,2462359,2,2,1
"243","chr1",2466124,2466397,13,17,0.764705882352941
"244","chr1",2466397,2466671,0,13,0
"245","chr1",2466692,2467061,43,46,0.934782608695652
"246","chr1",2467061,2467430,25,27,0.925925925925926
"247","chr1",2469380,2469680,15,25,0.6
"248","chr1",2471982,2472282,37,41,0.902439024390244
"249","chr1",2473063,2473363,24,30,0.8
"250","chr1",2474388,2474688,35,38,0.921052631578947
"251","chr1",2475810,2476110,10,15,0.666666666666667
"252","chr1",2476598,2476898,20,30,0.666666666666667
"253","chr1",2479046,2479346,7,56,0.125
"254","chr1",2496295,2496595,26,34,0.764705882352941
"255","chr1",2506686,2506986,5,5,1
"256","chr1",2507768,2508068,18,18,1
"257","chr1",2516319,2516619,6,10,0.6
"258","chr1",2525397,2525697,20,42,0.476190476190476
"259","chr1",2561634,2561859,32,37,0.864864864864865
"260","chr1",2565155,2565380,14,15,0.933333333333333
"261","chr1",2565380,2565606,17,19,0.894736842105263
"262","chr1",2703343,2703643,2,20,0.1
"263","chr1",2717603,2717903,14,25,0.56
"264","chr1",2764518,2764818,18,25,0.72
"265","chr1",2778910,2779210,22,23,0.956521739130435
"266","chr1",2782548,2782848,4,8,0.5
"267","chr1",2798129,2798429,19,43,0.441860465116279
"268","chr1",2802458,2802758,18,19,0.947368421052632
"269","chr1",2804999,2805299,44,48,0.916666666666667
"270","chr1",2820080,2820319,18,21,0.857142857142857
"271","chr1",2826883,2827183,13,16,0.8125
"272","chr1",2827259,2827544,15,18,0.833333333333333
"273","chr1",2827544,2827830,10,10,1
"274","chr1",2837367,2837667,23,27,0.851851851851852
"275","chr1",2842522,2842822,3,14,0.214285714285714
"276","chr1",2844720,2845020,12,17,0.705882352941177
"277","chr1",2884934,2885125,0,0,NA
"278","chr1",2918573,2918873,0,1,0
"279","chr1",2928252,2928508,30,31,0.967741935483871
"280","chr1",2929443,2929743,23,35,0.657142857142857
"281","chr1",2976626,2976926,1,4,0.25
"282","chr1",2988934,2989195,14,15,0.933333333333333
"283","chr1",2992469,2992629,28,28,1
"284","chr1",3007882,3008182,36,47,0.765957446808511
"285","chr1",3028940,3029219,15,16,0.9375
"286","chr1",3042308,3042608,35,35,1
"287","chr1",3050678,3050892,10,10,1
"288","chr1",3056001,3056301,15,17,0.882352941176471
"289","chr1",3056745,3057100,25,26,0.961538461538461
"290","chr1",3062564,3062782,12,13,0.923076923076923
"291","chr1",3070635,3070935,10,12,0.833333333333333
"292","chr1",3077684,3078019,35,36,0.972222222222222
"293","chr1",3078019,3078355,12,12,1
"294","chr1",3078373,3078673,5,5,1
"295","chr1",3080504,3080804,14,15,0.933333333333333
"296","chr1",3087848,3088148,19,20,0.95
"297","chr1",3091840,3092140,13,15,0.866666666666667
"298","chr1",3100192,3100492,4,4,1
"299","chr1",3103891,3104191,17,18,0.944444444444444
"300","chr1",3123349,3123676,29,30,0.966666666666667
"301","chr1",3123676,3124003,12,15,0.8
"302","chr1",3133660,3133960,31,32,0.96875
"303","chr1",3134011,3134311,29,33,0.878787878787879
"304","chr1",3134605,3134905,20,23,0.869565217391304
"305","chr1",3135561,3135773,19,20,0.95
"306","chr1",3135773,3135985,18,19,0.947368421052632
"307","chr1",3136429,3136677,14,14,1
"308","chr1",3139160,3139460,2,2,1
"309","chr1",3139499,3139757,10,10,1
"310","chr1",3142379,3142679,38,45,0.844444444444445
"311","chr1",3143531,3143831,1,1,1
"312","chr1",3148659,3148959,8,10,0.8
"313","chr1",3157878,3158113,47,48,0.979166666666667
"314","chr1",3162253,3162553,8,9,0.888888888888889
"315","chr1",3163394,3163764,1,1,1
"316","chr1",3163764,3164134,45,45,1
"317","chr1",3192391,3192691,31,31,1
"318","chr1",3201802,3202102,9,19,0.473684210526316
"319","chr1",3209368,3209668,8,8,1
"320","chr1",3223822,3224122,7,8,0.875
"321","chr1",3230099,3230447,10,26,0.384615384615385
"322","chr1",3230447,3230796,3,9,0.333333333333333
"323","chr1",3237303,3237603,2,7,0.285714285714286
"324","chr1",3238137,3238301,16,17,0.941176470588235
"325","chr1",3238620,3238920,0,0,NA
"326","chr1",3238988,3239288,15,17,0.882352941176471
"327","chr1",3240177,3240376,20,22,0.909090909090909
"328","chr1",3241716,3242016,5,6,0.833333333333333
"329","chr1",3243405,3243705,14,14,1
"330","chr1",3251351,3251590,16,18,0.888888888888889
"331","chr1",3266289,3266589,4,19,0.210526315789474
"332","chr1",3269364,3269627,31,31,1
"333","chr1",3272511,3272705,13,18,0.722222222222222
"334","chr1",3274480,3274780,28,29,0.96551724137931
"335","chr1",3276262,3276705,16,18,0.888888888888889
"336","chr1",3276705,3277149,54,56,0.964285714285714
"337","chr1",3286171,3286471,0,0,NA
"338","chr1",3302132,3302432,19,20,0.95
"339","chr1",3302817,3303117,21,23,0.91304347826087
"340","chr1",3308135,3308426,44,44,1
"341","chr1",3309713,3310013,27,27,1
"342","chr1",3315012,3315312,15,17,0.882352941176471
"343","chr1",3319113,3319413,24,27,0.888888888888889
"344","chr1",3329988,3330288,15,16,0.9375
"345","chr1",3339719,3340027,28,30,0.933333333333333
"346","chr1",3340027,3340336,40,52,0.769230769230769
"347","chr1",3349831,3350131,33,33,1
"348","chr1",3369992,3370212,5,19,0.263157894736842
"349","chr1",3370212,3370433,19,29,0.655172413793103
"350","chr1",3371940,3372240,12,24,0.5
"351","chr1",3372340,3372640,15,17,0.882352941176471
"352","chr1",3373515,3373773,15,15,1
"353","chr1",3373773,3374031,31,32,0.96875
"354","chr1",3374851,3375151,11,13,0.846153846153846
"355","chr1",3375719,3376019,17,17,1
"356","chr1",3376664,3376964,15,16,0.9375
"357","chr1",3377446,3377732,4,5,0.8
"358","chr1",3377732,3378018,34,35,0.971428571428571
"359","chr1",3378227,3378527,32,32,1
"360","chr1",3394558,3394858,56,59,0.949152542372881
"361","chr1",3396192,3396492,14,14,1
"362","chr1",3399109,3399288,2,8,0.25
"363","chr1",3420195,3420495,31,34,0.911764705882353
"364","chr1",3421447,3421747,9,11,0.818181818181818
"365","chr1",3424203,3424503,21,24,0.875
"366","chr1",3445569,3445869,38,43,0.883720930232558
"367","chr1",3446523,3446741,35,36,0.972222222222222
"368","chr1",3446741,3446959,19,20,0.95
"369","chr1",3448195,3448495,0,10,0
"370","chr1",3459798,3460107,60,63,0.952380952380952
"371","chr1",3462399,3462699,16,19,0.842105263157895
"372","chr1",3463897,3464113,34,41,0.829268292682927
"373","chr1",3464113,3464330,28,34,0.823529411764706
"374","chr1",3465222,3465522,13,14,0.928571428571429
"375","chr1",3470024,3470324,27,38,0.710526315789474
"376","chr1",3472053,3472353,36,40,0.9
"377","chr1",3482687,3482987,20,21,0.952380952380952
"378","chr1",3510410,3510710,12,12,1
"379","chr1",3524308,3524608,18,19,0.947368421052632
"380","chr1",3529274,3529574,4,5,0.8
"381","chr1",3529650,3529950,13,15,0.866666666666667
"382","chr1",3530548,3530848,14,17,0.823529411764706
"383","chr1",3563334,3563634,7,8,0.875
"384","chr1",3583182,3583482,20,20,1
"385","chr1",3585074,3585269,4,5,0.8
"386","chr1",3585269,3585464,3,15,0.2
"387","chr1",3589711,3590011,32,35,0.914285714285714
"388","chr1",3590499,3590670,12,22,0.545454545454545
"389","chr1",3590774,3591085,38,42,0.904761904761905
"390","chr1",3591085,3591397,20,28,0.714285714285714
"391","chr1",3593661,3593961,23,25,0.92
"392","chr1",3609652,3609952,19,21,0.904761904761905
"393","chr1",3620067,3620367,11,13,0.846153846153846
"394","chr1",3632562,3632862,16,25,0.64
"395","chr1",3686957,3687257,8,12,0.666666666666667
"396","chr1",3693150,3693450,15,17,0.882352941176471
"397","chr1",3701668,3701968,38,47,0.808510638297872
"398","chr1",3706171,3706471,30,30,1
"399","chr1",3791459,3791759,4,4,1
"400","chr1",3807558,3807858,6,6,1
"401","chr1",3809280,3809580,20,20,1
"402","chr1",3819203,3819503,11,11,1
"403","chr1",3826930,3827230,25,51,0.490196078431373
"404","chr1",4003949,4004249,16,22,0.727272727272727
"405","chr1",4087525,4087825,6,18,0.333333333333333
"406","chr1",4121669,4121969,16,22,0.727272727272727
"407","chr1",4218965,4219265,8,15,0.533333333333333
"408","chr1",4328922,4329222,7,18,0.388888888888889
"409","chr1",4467900,4468200,14,28,0.5
"410","chr1",4697816,4698116,10,18,0.555555555555556
"411","chr1",4698265,4698565,27,38,0.710526315789474
"412","chr1",4770525,4770937,4,4,1
"413","chr1",4772661,4772949,10,21,0.476190476190476
"414","chr1",4775082,4775382,1,4,0.25
"415","chr1",4856336,4856636,4,11,0.363636363636364
"416","chr1",5483213,5483513,5,21,0.238095238095238
"417","chr1",5483632,5483932,3,9,0.333333333333333
"418","chr1",5508590,5508890,3,11,0.272727272727273
"419","chr1",5561844,5562144,9,9,1
"420","chr1",5732197,5732497,0,2,0
"421","chr1",5748168,5748468,7,8,0.875
"422","chr1",5748851,5749151,12,18,0.666666666666667
"423","chr1",5812730,5813030,5,5,1
"424","chr1",5891370,5891670,20,32,0.625
"425","chr1",5943237,5943537,20,20,1
"426","chr1",5968527,5968827,11,11,1
"427","chr1",5975739,5976039,15,17,0.882352941176471
"428","chr1",6011166,6011466,8,8,1
"429","chr1",6035642,6035942,25,26,0.961538461538461
"430","chr1",6040673,6040973,22,52,0.423076923076923
"431","chr1",6050177,6050477,1,1,1
"432","chr1",6054633,6054933,39,39,1
"433","chr1",6088399,6088699,20,21,0.952380952380952
"434","chr1",6112917,6113217,0,4,0
"435","chr1",6132728,6133028,4,4,1
"436","chr1",6140438,6140738,31,31,1
"437","chr1",6152922,6153222,4,5,0.8
"438","chr1",6189153,6189453,24,24,1
"439","chr1",6191670,6191970,21,22,0.954545454545455
"440","chr1",6204073,6204373,16,18,0.888888888888889
"441","chr1",6205267,6205567,8,9,0.888888888888889
"442","chr1",6206916,6207216,23,25,0.92
"443","chr1",6208566,6208797,1,97,0.0103092783505155
"444","chr1",6217965,6218265,2,19,0.105263157894737
"445","chr1",6236851,6237151,10,11,0.909090909090909
"446","chr1",6237220,6237520,10,11,0.909090909090909
"447","chr1",6240889,6241108,13,17,0.764705882352941
"448","chr1",6241355,6241655,11,13,0.846153846153846
"449","chr1",6264839,6265139,0,5,0
"450","chr1",6280871,6281171,7,7,1
"451","chr1",6301249,6301549,12,12,1
"452","chr1",6306699,6306999,0,18,0
"453","chr1",6310288,6310588,48,52,0.923076923076923
"454","chr1",6328804,6329104,45,49,0.918367346938776
"455","chr1",6330378,6330678,35,36,0.972222222222222
"456","chr1",6333351,6333683,39,41,0.951219512195122
"457","chr1",6333683,6334016,30,31,0.967741935483871
"458","chr1",6340989,6341289,37,40,0.925
"459","chr1",6342008,6342296,18,19,0.947368421052632
"460","chr1",6342296,6342584,49,51,0.96078431372549
"461","chr1",6348309,6348609,22,22,1
"462","chr1",6381973,6382273,12,12,1
"463","chr1",6390444,6390622,13,13,1
"464","chr1",6395983,6396283,4,4,1
"465","chr1",6403907,6404207,20,31,0.645161290322581
"466","chr1",6405521,6405821,10,10,1
"467","chr1",6411461,6411761,4,4,1
"468","chr1",6413628,6413928,4,4,1
"469","chr1",6414264,6414564,31,36,0.861111111111111
"470","chr1",6414574,6414874,2,2,1
"471","chr1",6419455,6419755,37,38,0.973684210526316
"472","chr1",6474232,6474532,0,15,0
"473","chr1",6487409,6487709,8,11,0.727272727272727
"474","chr1",6510875,6511175,14,15,0.933333333333333
"475","chr1",6519772,6520072,4,5,0.8
"476","chr1",6520970,6521128,23,23,1
"477","chr1",6534298,6534598,14,22,0.636363636363636
"478","chr1",6534874,6535174,22,27,0.814814814814815
"479","chr1",6548340,6548640,12,12,1
"480","chr1",6556695,6556995,5,14,0.357142857142857
"481","chr1",6565987,6566236,15,16,0.9375
"482","chr1",6638353,6638653,4,6,0.666666666666667
"483","chr1",6656908,6657116,10,10,1
"484","chr1",6657116,6657325,13,16,0.8125
"485","chr1",6657493,6657793,9,9,1
"486","chr1",6664063,6664363,2,22,0.0909090909090909
"487","chr1",6669736,6670036,0,1,0
"488","chr1",6676522,6676822,7,7,1
"489","chr1",6684719,6685019,0,2,0
"490","chr1",6696015,6696315,5,5,1
"491","chr1",6698306,6698606,5,5,1
"492","chr1",6760796,6761096,0,2,0
"493","chr1",6762449,6762749,8,9,0.888888888888889
"494","chr1",6780015,6780315,0,6,0
"495","chr1",6784598,6784898,1,3,0.333333333333333
"496","chr1",6803648,6803948,10,11,0.909090909090909
"497","chr1",6830821,6831121,7,19,0.368421052631579
"498","chr1",6831568,6831868,21,23,0.91304347826087
"499","chr1",6847522,6847822,1,1,1
"500","chr1",6868494,6868794,1,1,1
"501","chr1",6879621,6879921,0,0,NA
"502","chr1",6927488,6927788,2,2,1
"503","chr1",6946364,6946664,0,0,NA
"504","chr1",6972711,6973011,10,10,1
"505","chr1",7018798,7019098,0,0,NA
"506","chr1",7022161,7022433,25,45,0.555555555555556
"507","chr1",7102960,7103260,0,2,0
"508","chr1",7118923,7119223,5,10,0.5
"509","chr1",7120749,7121049,0,0,NA
"510","chr1",7130344,7130644,2,13,0.153846153846154
"511","chr1",7201388,7201688,4,9,0.444444444444444
"512","chr1",7283601,7283901,3,8,0.375
"513","chr1",7324989,7325289,15,15,1
"514","chr1",7326194,7326494,1,24,0.0416666666666667
"515","chr1",7326498,7326798,4,5,0.8
"516","chr1",7340505,7340805,1,1,1
"517","chr1",7352098,7352398,0,0,NA
"518","chr1",7359470,7359770,0,3,0
"519","chr1",7393535,7393835,15,17,0.882352941176471
"520","chr1",7394873,7395173,2,2,1
"521","chr1",7408760,7409060,11,13,0.846153846153846
"522","chr1",7434020,7434320,2,2,1
"523","chr1",7439541,7439841,1,2,0.5
"524","chr1",7447370,7447670,16,17,0.941176470588235
"525","chr1",7448906,7449206,47,48,0.979166666666667
"526","chr1",7462025,7462325,0,1,0
"527","chr1",7515444,7515744,1,1,1
"528","chr1",7531567,7531867,31,32,0.96875
"529","chr1",7538572,7538872,1,1,1
"530","chr1",7549885,7550185,23,28,0.821428571428571
"531","chr1",7551700,7552000,3,4,0.75
"532","chr1",7552129,7552429,18,22,0.818181818181818
"533","chr1",7642833,7643133,11,12,0.916666666666667
"534","chr1",7692216,7692516,8,13,0.615384615384615
"535","chr1",7705605,7705905,15,19,0.789473684210526
"536","chr1",7729945,7730245,17,33,0.515151515151515
"537","chr1",7738892,7739192,5,5,1
"538","chr1",7739670,7739852,11,13,0.846153846153846
"539","chr1",7739852,7740035,1,10,0.1
"540","chr1",7796194,7796494,18,18,1
"541","chr1",7812714,7813014,0,2,0
"542","chr1",7841571,7841871,0,0,NA
"543","chr1",7842008,7842263,6,6,1
"544","chr1",7842263,7842518,20,21,0.952380952380952
"545","chr1",7887791,7888091,3,3,1
"546","chr1",7907845,7908145,2,2,1
"547","chr1",8000163,8000463,0,0,NA
"548","chr1",8001035,8001195,1,4,0.25
"549","chr1",8013823,8014123,0,32,0
"550","chr1",8014610,8014799,0,6,0
"551","chr1",8021176,8021468,0,23,0
"552","chr1",8035154,8035454,3,4,0.75
"553","chr1",8064512,8064812,13,14,0.928571428571429
"554","chr1",8064888,8065188,4,7,0.571428571428571
"555","chr1",8065509,8065809,15,15,1
"556","chr1",8076448,8076748,1,2,0.5
"557","chr1",8078501,8078801,1,2,0.5
"558","chr1",8083741,8084041,4,5,0.8
"559","chr1",8087535,8087800,3,11,0.272727272727273
"560","chr1",8130514,8130814,0,4,0
"561","chr1",8137413,8137713,0,0,NA
"562","chr1",8143740,8144040,5,8,0.625
"563","chr1",8154766,8155066,0,7,0
"564","chr1",8176923,8177223,2,2,1
"565","chr1",8181404,8181588,0,17,0
"566","chr1",8227046,8227346,1,4,0.25
"567","chr1",8227949,8228249,8,8,1
"568","chr1",8229467,8229767,2,8,0.25
"569","chr1",8230341,8230641,27,35,0.771428571428571
"570","chr1",8241815,8242115,2,3,0.666666666666667
"571","chr1",8244442,8244742,2,2,1
"572","chr1",8254021,8254321,2,3,0.666666666666667
