"","gene","TAD"
"AF020763","AF020763","TAD_169"
"AF035281;LOC155060;ZNF783","AF035281;LOC155060;ZNF783","TAD_1202"
"AF055024","AF055024","TAD_95"
"AF070581","AF070581","TAD_2560"
"AF086102","AF086102","TAD_1291"
"AF086125","AF086125","TAD_1106"
"AF086132","AF086132","TAD_2174"
"AF086184","AF086184","TAD_2290"
"AF086285","AF086285","TAD_3478"
"AF086351","AF086351","TAD_264"
"AF113016","AF113016","TAD_2454"
"AF157115","AF157115","TAD_316"
"AF161365","AF161365","TAD_1807"
"AF283776","AF283776","TAD_3532"
"AF520793","AF520793","TAD_3343"
"AFAP1","AFAP1","TAD_3644"
"AFF1","AFF1","TAD_22"
"AFF4","AFF4","TAD_1656"
"AFMID","AFMID","TAD_1648"
"AFP","AFP","TAD_2804"
"AFTPH","AFTPH","TAD_1294"
"AGA","AGA","TAD_150"
"AGAP3;AX747175","AGAP3;AX747175","TAD_2091"
"AGBL2","AGBL2","TAD_1341"
"AGBL3","AGBL3","TAD_1135"
"AGBL5","AGBL5","TAD_2417"
"AGFG1","AGFG1","TAD_1060"
"AGFG2","AGFG2","TAD_2283"
"AGGF1","AGGF1","TAD_88"
"AGK","AGK","TAD_2527"
"AGL","AGL","TAD_889"
"AGMAT","AGMAT","TAD_2472"
"AGPAT1","AGPAT1","TAD_1452"
"AGPAT2","AGPAT2","TAD_2354"
"AGPAT4","AGPAT4","TAD_1027"
"AGPAT4-IT1","AGPAT4-IT1","TAD_1452"
"AGPAT6","AGPAT6","TAD_3538"
"AGPAT9","AGPAT9","TAD_2342"
"AGPS","AGPS","TAD_217"
"AGRN","AGRN","TAD_1610"
"AGT","AGT","TAD_2533"
"AHCYL2","AHCYL2","TAD_3185"
"AHDC1","AHDC1","TAD_3328"
"AHNAK2","AHNAK2","TAD_280"
"AHR","AHR","TAD_602"
"AHRR","AHRR","TAD_1649"
"AHSA1","AHSA1","TAD_2827"
"AHSA2","AHSA2","TAD_1464"
"AICDA","AICDA","TAD_1944"
"AIDA","AIDA","TAD_1449"
"AIFM1","AIFM1","TAD_146"
"AIFM2","AIFM2","TAD_832"
"AIFM3","AIFM3","TAD_1826"
"AIM1","AIM1","TAD_108"
"AIMP1","AIMP1","TAD_2142"
"AJ278121;HSPB6","AJ278121;HSPB6","TAD_1482"
"AJUBA","AJUBA","TAD_245"
"AK001057","AK001057","TAD_590"
"AK001394","AK001394","TAD_213"
"AK021563","AK021563","TAD_659"
"AK021570","AK021570","TAD_1606"
"AK021804","AK021804","TAD_3096"
"AK021876","AK021876","TAD_2857"
"AK021888","AK021888","TAD_727"
"AK022793","AK022793","TAD_1971"
"AK022993","AK022993","TAD_3022"
"AK022997","AK022997","TAD_777"
"AK023040","AK023040","TAD_2737"
"AK023178;PP7080","AK023178;PP7080","TAD_2942"
"AK023566","AK023566","TAD_2331"
"AK023627","AK023627","TAD_3478"
"AK023629","AK023629","TAD_1084"
"AK024535;STAT3;AK092965","AK024535;STAT3;AK092965","TAD_513"
"AK024736","AK024736","TAD_911"
"AK025061","AK025061","TAD_31"
"AK025127","AK025127","TAD_45"
"AK025288","AK025288","TAD_1665"
"AK025321","AK025321","TAD_3163"
"AK025726","AK025726","TAD_2372"
"AK025793","AK025793","TAD_1482"
"AK026101","AK026101","TAD_3157"
"AK026244","AK026244","TAD_1288"
"AK026392;MXD4;MIR4800","AK026392;MXD4;MIR4800","TAD_830"
"AK027541","AK027541","TAD_2289"
"AK055017","AK055017","TAD_1700"
"AK055254","AK055254","TAD_3339"
"AK055272","AK055272","TAD_1251"
"AK055323","AK055323","TAD_425"
"AK055370","AK055370","TAD_1577"
"AK055408","AK055408","TAD_3122"
"AK055601","AK055601","TAD_1648"
"AK055666","AK055666","TAD_2238"
"AK055854","AK055854","TAD_32"
"AK055918","AK055918","TAD_3478"
"AK055981","AK055981","TAD_3249"
"AK056073","AK056073","TAD_31"
"AK056081","AK056081","TAD_218"
"AK056182","AK056182","TAD_1585"
"AK056196","AK056196","TAD_313"
"AK056332","AK056332","TAD_1785"
"AK056556","AK056556","TAD_7"
"AK056558","AK056558","TAD_2316"
"AK056623","AK056623","TAD_1127"
"AK056657","AK056657","TAD_2339"
"AK056683","AK056683","TAD_3464"
"AK056817","AK056817","TAD_2888"
"AK056897","AK056897","TAD_1992"
"AK056973","AK056973","TAD_1697"
"AK056982","AK056982","TAD_2603"
"AK057681","AK057681","TAD_3571"
"AK057719","AK057719","TAD_2728"
"AK057873","AK057873","TAD_3328"
"AK057887","AK057887","TAD_969"
"AK074469","AK074469","TAD_3260"
"AK074476","AK074476","TAD_1264"
"AK090553","AK090553","TAD_1590"
"AK090593","AK090593","TAD_567"
"AK090844","AK090844","TAD_812"
"AK090904","AK090904","TAD_2387"
"AK091028","AK091028","TAD_1057"
"AK091275","AK091275","TAD_1668"
"AK091729","AK091729","TAD_3074"
"AK091906","AK091906","TAD_2383"
"AK092048","AK092048","TAD_1615"
"AK092080","AK092080","TAD_1624"
"AK092380","AK092380","TAD_2094"
"AK092589","AK092589","TAD_1062"
"AK093002","AK093002","TAD_516"
"AK093026","AK093026","TAD_79"
"AK093299","AK093299","TAD_329"
"AK093356","AK093356","TAD_854"
"AK093416","AK093416","TAD_3225"
"AK093534","AK093534","TAD_1444"
"AK093898","AK093898","TAD_240"
"AK094480","AK094480","TAD_830"
"AK094562","AK094562","TAD_1501"
"AK094621","AK094621","TAD_85"
"AK094715","AK094715","TAD_776"
"AK094963","AK094963","TAD_3503"
"AK094985","AK094985","TAD_2122"
"AK094990","AK094990","TAD_2258"
"AK095112;AK126318","AK095112;AK126318","TAD_1605"
"AK095267","AK095267","TAD_2706"
"AK095335","AK095335","TAD_1701"
"AK095439","AK095439","TAD_276"
"AK096219","AK096219","TAD_149"
"AK096230","AK096230","TAD_3005"
"AK096233;PRICKLE1","AK096233;PRICKLE1","TAD_216"
"AK096279","AK096279","TAD_3485"
"AK096319","AK096319","TAD_3310"
"AK096335","AK096335","TAD_1424"
"AK096475","AK096475","TAD_1009"
"AK096834","AK096834","TAD_2486"
"AK096976","AK096976","TAD_3226"
"AK096982","AK096982","TAD_1870"
"AK097012;MKNK2","AK097012;MKNK2","TAD_2045"
"AK097161","AK097161","TAD_3179"
"AK097283","AK097283","TAD_2212"
"AK097288","AK097288","TAD_1574"
"AK097351;TEAD2","AK097351;TEAD2","TAD_2432"
"AK097472","AK097472","TAD_2341"
"AK097590","AK097590","TAD_1165"
"AK097607","AK097607","TAD_429"
"AK097625","AK097625","TAD_2857"
"AK097787","AK097787","TAD_3625"
"AK097902","AK097902","TAD_1729"
"AK098067","AK098067","TAD_750"
"AK098198","AK098198","TAD_1701"
"AK098263","AK098263","TAD_1589"
"AK098333","AK098333","TAD_3234"
"AK098570","AK098570","TAD_803"
"AK098769","AK098769","TAD_381"
"AK1","AK1","TAD_2405"
"AK123177","AK123177","TAD_1771"
"AK123181;TMEM120B","AK123181;TMEM120B","TAD_3141"
"AK123450","AK123450","TAD_460"
"AK123582","AK123582","TAD_92"
"AK123675","AK123675","TAD_935"
"AK123878","AK123878","TAD_2895"
"AK123947","AK123947","TAD_52"
"AK123998","AK123998","TAD_552"
"AK124399","AK124399","TAD_1662"
"AK124465;GFAP","AK124465;GFAP","TAD_1160"
"AK124484","AK124484","TAD_2376"
"AK124928","AK124928","TAD_1950"
"AK124930","AK124930","TAD_2324"
"AK124973","AK124973","TAD_995"
"AK125001","AK125001","TAD_703"
"AK125212","AK125212","TAD_934"
"AK125301","AK125301","TAD_3048"
"AK125516","AK125516","TAD_1701"
"AK125558","AK125558","TAD_3485"
"AK125676","AK125676","TAD_1612"
"AK125759","AK125759","TAD_2213"
"AK125960","AK125960","TAD_727"
"AK126209;C8orf42","AK126209;C8orf42","TAD_1833"
"AK126225;CLPTM1L","AK126225;CLPTM1L","TAD_229"
"AK126278","AK126278","TAD_2093"
"AK126286","AK126286","TAD_670"
"AK126380","AK126380","TAD_2412"
"AK126539","AK126539","TAD_1260"
"AK126693","AK126693","TAD_2673"
"AK127087","AK127087","TAD_2340"
"AK127179;DICER1-AS1","AK127179;DICER1-AS1","TAD_2914"
"AK127190","AK127190","TAD_3485"
"AK127380","AK127380","TAD_2268"
"AK127555","AK127555","TAD_773"
"AK127697","AK127697","TAD_3074"
"AK127889","AK127889","TAD_1165"
"AK128153","AK128153","TAD_653"
"AK128361;ZNF615","AK128361;ZNF615","TAD_1127"
"AK128400","AK128400","TAD_3625"
"AK128559","AK128559","TAD_429"
"AK128673","AK128673","TAD_3533"
"AK128697","AK128697","TAD_2033"
"AK128734","AK128734","TAD_91"
"AK130076","AK130076","TAD_1127"
"AK130294;LOC92249","AK130294;LOC92249","TAD_533"
"AK130329","AK130329","TAD_1667"
"AK130481","AK130481","TAD_2737"
"AK2","AK2","TAD_65"
"AK225487","AK225487","TAD_2978"
"AK289390","AK289390","TAD_457"
"AK293147","AK293147","TAD_1336"
"AK294743","AK294743","TAD_1682"
"AK296065","AK296065","TAD_1671"
"AK296966","AK296966","TAD_209"
"AK297919","AK297919","TAD_2860"
"AK3","AK3","TAD_2351"
"AK304759","AK304759","TAD_3135"
"AK307192","AK307192","TAD_2136"
"AK307233","AK307233","TAD_1606"
"AK307246","AK307246","TAD_2228"
"AK308944","AK308944","TAD_2744"
"AK309286","AK309286","TAD_1996"
"AK309441;WWTR1-AS1","AK309441;WWTR1-AS1","TAD_2724"
"AK310493","AK310493","TAD_3338"
"AK310634","AK310634","TAD_531"
"AK311167","AK311167","TAD_3120"
"AK311213","AK311213","TAD_3629"
"AK311356","AK311356","TAD_1493"
"AK311398","AK311398","TAD_216"
"AK311400","AK311400","TAD_2159"
"AK311578","AK311578","TAD_643"
"AK4","AK4","TAD_2777"
"AK5","AK5","TAD_337"
"AK7","AK7","TAD_719"
"AK8","AK8","TAD_843"
"AKAP10","AKAP10","TAD_2196"
"AKAP3","AKAP3","TAD_329"
"AKAP5","AKAP5","TAD_1082"
"AKAP8","AKAP8","TAD_1590"
"AKAP8L","AKAP8L","TAD_2494"
"AKAP9","AKAP9","TAD_1740"
"AKIP1","AKIP1","TAD_1291"
"AKIRIN1","AKIRIN1","TAD_2474"
"AKIRIN2","AKIRIN2","TAD_1294"
"AKNAD1","AKNAD1","TAD_1053"
"AKR1B1","AKR1B1","TAD_3329"
"AKR1B10","AKR1B10","TAD_1822"
"AKR1B15","AKR1B15","TAD_3222"
"AKR1C1","AKR1C1","TAD_2593"
"AKR1C2","AKR1C2","TAD_570"
"AKR1C3","AKR1C3","TAD_1294"
"AKR1CL1","AKR1CL1","TAD_3468"
"AKT1","AKT1","TAD_1168"
"AKT3","AKT3","TAD_3243"
"AL049935","AL049935","TAD_1962"
"AL080192","AL080192","TAD_1039"
"AL110181","AL110181","TAD_3165"
"AL133111","AL133111","TAD_1049"
"AL137535","AL137535","TAD_2754"
"AL137752","AL137752","TAD_860"
"AL357213","AL357213","TAD_3289"
"AL360260","AL360260","TAD_862"
"AL831889","AL831889","TAD_232"
"AL831948","AL831948","TAD_2831"
"AL832007","AL832007","TAD_1064"
"AL832163","AL832163","TAD_3165"
"AL832184","AL832184","TAD_1668"
"AL832212;UBE2H","AL832212;UBE2H","TAD_1599"
"AL832252","AL832252","TAD_1588"
"AL832262","AL832262","TAD_2776"
"AL832909","AL832909","TAD_2"
"ALAD","ALAD","TAD_3329"
"ALAS1","ALAS1","TAD_2737"
"ALDH18A1","ALDH18A1","TAD_2682"
"ALDH1A3","ALDH1A3","TAD_849"
"ALDH1B1","ALDH1B1","TAD_101"
"ALDH1L2","ALDH1L2","TAD_1614"
"ALDH2","ALDH2","TAD_1106"
"ALDH3A1","ALDH3A1","TAD_1028"
"ALDH3A2","ALDH3A2","TAD_243"
"ALDH5A1","ALDH5A1","TAD_3538"
"ALDH9A1","ALDH9A1","TAD_157"
"ALG12","ALG12","TAD_1605"
"ALG13","ALG13","TAD_2982"
"ALG3","ALG3","TAD_2892"
"ALG6","ALG6","TAD_2980"
"ALKBH1","ALKBH1","TAD_429"
"ALKBH5","ALKBH5","TAD_3381"
"ALKBH6","ALKBH6","TAD_837"
"ALKBH7","ALKBH7","TAD_2654"
"ALKBH8","ALKBH8","TAD_1906"
"ALOX15B","ALOX15B","TAD_3188"
"ALPK3","ALPK3","TAD_2340"
"ALPL","ALPL","TAD_245"
"ALS2","ALS2","TAD_3451"
"ALS2CL","ALS2CL","TAD_681"
"ALS2CR11","ALS2CR11","TAD_475"
"ALS2CR12","ALS2CR12","TAD_1648"
"ALS2CR8","ALS2CR8","TAD_1030"
"ALX1","ALX1","TAD_367"
"ALYREF","ALYREF","TAD_2261"
"AMBRA1","AMBRA1","TAD_2527"
"AMD1","AMD1","TAD_1997"
"AMH","AMH","TAD_2845"
"AMHR2","AMHR2","TAD_3150"
"AMIGO2","AMIGO2","TAD_1200"
"AMIGO3","AMIGO3","TAD_339"
"AMN","AMN","TAD_2837"
"AMOTL1","AMOTL1","TAD_169"
"AMPD2","AMPD2","TAD_1380"
"AMPD3","AMPD3","TAD_2337"
"AMT;NICN1","AMT;NICN1","TAD_356"
"AMZ1","AMZ1","TAD_627"
"ANAPC11","ANAPC11","TAD_2414"
"ANAPC16","ANAPC16","TAD_3039"
"ANAPC2","ANAPC2","TAD_3644"
"ANAPC5","ANAPC5","TAD_1625"
"ANG","ANG","TAD_3535"
"ANGEL2","ANGEL2","TAD_541"
"ANGPT1","ANGPT1","TAD_862"
"ANGPTL4","ANGPTL4","TAD_450"
"ANK1","ANK1","TAD_1499"
"ANK2","ANK2","TAD_2122"
"ANK3","ANK3","TAD_3119"
"ANKAR","ANKAR","TAD_1610"
"ANKDD1A","ANKDD1A","TAD_240"
"ANKHD1","ANKHD1","TAD_1689"
"ANKHD1-EIF4EBP3","ANKHD1-EIF4EBP3","TAD_240"
"ANKIB1","ANKIB1","TAD_2831"
"ANKK1","ANKK1","TAD_1189"
"ANKMY2","ANKMY2","TAD_1610"
"ANKRD13A","ANKRD13A","TAD_38"
"ANKRD13C","ANKRD13C","TAD_2591"
"ANKRD13D","ANKRD13D","TAD_3412"
"ANKRD16;AK129672","ANKRD16;AK129672","TAD_2094"
"ANKRD2","ANKRD2","TAD_617"
"ANKRD23","ANKRD23","TAD_31"
"ANKRD24","ANKRD24","TAD_1196"
"ANKRD26","ANKRD26","TAD_3444"
"ANKRD29","ANKRD29","TAD_2392"
"ANKRD31","ANKRD31","TAD_1499"
"ANKRD32","ANKRD32","TAD_2776"
"ANKRD33B","ANKRD33B","TAD_3178"
"ANKRD34A","ANKRD34A","TAD_3328"
"ANKRD35","ANKRD35","TAD_3464"
"ANKRD37","ANKRD37","TAD_1014"
"ANKRD39","ANKRD39","TAD_2764"
"ANKRD40","ANKRD40","TAD_1697"
"ANKRD42","ANKRD42","TAD_2566"
"ANKRD45","ANKRD45","TAD_3208"
"ANKRD49","ANKRD49","TAD_1295"
"ANKRD5","ANKRD5","TAD_849"
"ANKRD52","ANKRD52","TAD_3096"
"ANKRD6","ANKRD6","TAD_97"
"ANKRD65","ANKRD65","TAD_36"
"ANKRD9","ANKRD9","TAD_381"
"ANKS1A","ANKS1A","TAD_881"
"ANKS1B","ANKS1B","TAD_596"
"ANKS3","ANKS3","TAD_1506"
"ANKS4B","ANKS4B","TAD_1174"
"ANKZF1","ANKZF1","TAD_3485"
"ANO10","ANO10","TAD_1919"
"ANO4","ANO4","TAD_3486"
"ANO6","ANO6","TAD_2425"
"ANO7","ANO7","TAD_657"
"ANP32A","ANP32A","TAD_1027"
"ANP32A-IT1","ANP32A-IT1","TAD_169"
"ANP32AP1","ANP32AP1","TAD_1388"
"ANPEP","ANPEP","TAD_3307"
"ANXA11","ANXA11","TAD_1962"
"ANXA2P1","ANXA2P1","TAD_2332"
"ANXA4","ANXA4","TAD_970"
"ANXA5","ANXA5","TAD_750"
"ANXA6","ANXA6","TAD_1205"
"ANXA7","ANXA7","TAD_3619"
"AOC2","AOC2","TAD_485"
"AOC3","AOC3","TAD_1297"
"AOX1","AOX1","TAD_1833"
"AOX2P","AOX2P","TAD_3439"
"AP1G1","AP1G1","TAD_2570"
"AP1M2","AP1M2","TAD_2658"
"AP1S1","AP1S1","TAD_2831"
"AP1S3","AP1S3","TAD_1477"
"AP2A1","AP2A1","TAD_2316"
"AP2M1","AP2M1","TAD_467"
"AP2S1","AP2S1","TAD_2094"
"AP3B1","AP3B1","TAD_793"
"AP3B2;DQ601936","AP3B2;DQ601936","TAD_1137"
"AP3D1","AP3D1","TAD_2472"
"AP3M2","AP3M2","TAD_1352"
"AP3S2","AP3S2","TAD_1625"
"AP4B1","AP4B1","TAD_1422"
"AP4M1","AP4M1","TAD_692"
"AP4S1","AP4S1","TAD_1200"
"APAF1","APAF1","TAD_485"
"APBA1","APBA1","TAD_3484"
"APBA3","APBA3","TAD_93"
"APBB1","APBB1","TAD_2602"
"APBB2","APBB2","TAD_2339"
"APBB3","APBB3","TAD_2683"
"APC","APC","TAD_2907"
"APEX1","APEX1","TAD_1574"
"APEX2","APEX2","TAD_213"
"APH1A","APH1A","TAD_3308"
"APH1B","APH1B","TAD_343"
"APLN","APLN","TAD_1911"
"APLP1","APLP1","TAD_1181"
"APOBEC3A","APOBEC3A","TAD_1578"
"APOBEC3B","APOBEC3B","TAD_972"
"APOBEC3C","APOBEC3C","TAD_3359"
"APOBEC3D","APOBEC3D","TAD_2154"
"APOBEC3F","APOBEC3F","TAD_1029"
"APOBEC3G","APOBEC3G","TAD_2383"
"APOF","APOF","TAD_453"
"APOM","APOM","TAD_1649"
"APOOL","APOOL","TAD_2867"
"APP","APP","TAD_2831"
"APPBP2","APPBP2","TAD_1701"
"APPL1","APPL1","TAD_679"
"APRT","APRT","TAD_1082"
"AQP10","AQP10","TAD_1137"
"AQP8","AQP8","TAD_3347"
"ARC","ARC","TAD_1137"
"ARF1;MIR3620","ARF1;MIR3620","TAD_2839"
"ARF3","ARF3","TAD_2039"
"ARF4","ARF4","TAD_2917"
"ARF5","ARF5","TAD_1919"
"ARF6","ARF6","TAD_2"
"ARFGAP1","ARFGAP1","TAD_1701"
"ARFGAP3","ARFGAP3","TAD_1174"
"ARFGEF1","ARFGEF1","TAD_3151"
"ARFIP2","ARFIP2","TAD_3318"
"ARFRP1","ARFRP1","TAD_88"
"ARHGAP1","ARHGAP1","TAD_2836"
"ARHGAP19","ARHGAP19","TAD_1020"
"ARHGAP28","ARHGAP28","TAD_3269"
"ARHGAP31","ARHGAP31","TAD_3292"
"ARHGAP35","ARHGAP35","TAD_589"
"ARHGAP4","ARHGAP4","TAD_3049"
"ARHGDIA","ARHGDIA","TAD_1022"
"ARHGEF10","ARHGEF10","TAD_87"
"ARHGEF11","ARHGEF11","TAD_1889"
"ARHGEF17","ARHGEF17","TAD_2829"
"ARHGEF19","ARHGEF19","TAD_2192"
"ARHGEF2","ARHGEF2","TAD_1358"
"ARHGEF25","ARHGEF25","TAD_3347"
"ARHGEF3","ARHGEF3","TAD_481"
"ARHGEF33","ARHGEF33","TAD_2217"
"ARHGEF37","ARHGEF37","TAD_2091"
"ARHGEF4","ARHGEF4","TAD_1423"
"ARHGEF40","ARHGEF40","TAD_275"
"ARHGEF9","ARHGEF9","TAD_1624"
"ARID2","ARID2","TAD_830"
"ARID3A","ARID3A","TAD_2672"
"ARID3B","ARID3B","TAD_2541"
"ARID4A","ARID4A","TAD_2836"
"ARID5B","ARID5B","TAD_2433"
"ARIH2","ARIH2","TAD_312"
"ARL13B","ARL13B","TAD_289"
"ARL14","ARL14","TAD_657"
"ARL15","ARL15","TAD_670"
"ARL2","ARL2","TAD_1020"
"ARL2BP","ARL2BP","TAD_211"
"ARL4C","ARL4C","TAD_2516"
"ARMC7","ARMC7","TAD_1158"
"ARMC8","ARMC8","TAD_2900"
"ARMCX1","ARMCX1","TAD_3266"
"ARMCX2","ARMCX2","TAD_1443"
"ARMCX3","ARMCX3","TAD_2153"
"ARMCX5","ARMCX5","TAD_299"
"ARMCX6","ARMCX6","TAD_1484"
"ARMS2","ARMS2","TAD_1986"
"ARNT","ARNT","TAD_1649"
"ARNT2","ARNT2","TAD_759"
"ARNTL","ARNTL","TAD_1632"
"ARPC4","ARPC4","TAD_2422"
"ARPM1","ARPM1","TAD_1969"
"ARRB2","ARRB2","TAD_216"
"ARRDC2","ARRDC2","TAD_3439"
"ARSA","ARSA","TAD_112"
"ARSB","ARSB","TAD_1917"
"ARSI","ARSI","TAD_473"
"ARSJ","ARSJ","TAD_630"
"ARSK","ARSK","TAD_1124"
"ARTN","ARTN","TAD_3437"
"AS3MT","AS3MT","TAD_1606"
"ASAH1","ASAH1","TAD_2839"
"ASAP1","ASAP1","TAD_378"
"ASAP1-IT1","ASAP1-IT1","TAD_2990"
"ASAP3","ASAP3","TAD_2277"
"ASB1","ASB1","TAD_1649"
"ASB15","ASB15","TAD_343"
"ASB8","ASB8","TAD_149"
"ASCC1","ASCC1","TAD_3157"
"ASCC2","ASCC2","TAD_76"
"ASCL1","ASCL1","TAD_2682"
"ASH2L","ASH2L","TAD_2342"
"ASL","ASL","TAD_926"
"ASNA1","ASNA1","TAD_2502"
"ASNSD1","ASNSD1","TAD_570"
"ASPHD1","ASPHD1","TAD_2434"
"ASPHD2","ASPHD2","TAD_2212"
"ASPRV1;PCBP1-AS1","ASPRV1;PCBP1-AS1","TAD_3650"
"ASPSCR1","ASPSCR1","TAD_889"
"ASXL1","ASXL1","TAD_304"
"ASXL2","ASXL2","TAD_2302"
"ATAD2","ATAD2","TAD_1595"
"ATAD3C","ATAD3C","TAD_142"
"ATAT1","ATAT1","TAD_3307"
"ATCAY","ATCAY","TAD_1110"
"ATF2","ATF2","TAD_124"
"ATF3","ATF3","TAD_1977"
"ATG13","ATG13","TAD_862"
