"","gene","TAD"
"ADCY5","ADCY5","TAD_2194"
"ADCY7","ADCY7","TAD_1941"
"ADCYAP1R1","ADCYAP1R1","TAD_1440"
"ADD1","ADD1","TAD_3249"
"ADD2","ADD2","TAD_1585"
"ADD3","ADD3","TAD_822"
"ADI1","ADI1","TAD_2826"
"ADIPOR1","ADIPOR1","TAD_2228"
"ADIPOR2","ADIPOR2","TAD_2376"
"ADNP","ADNP","TAD_2744"
"ADNP2","ADNP2","TAD_2570"
"ADORA3","ADORA3","TAD_2804"
"ADPRH","ADPRH","TAD_2838"
"ADRA1B","ADRA1B","TAD_1722"
"ADRA1D","ADRA1D","TAD_2159"
"ADRA2A","ADRA2A","TAD_1667"
"ADRA2C","ADRA2C","TAD_3485"
"ADRBK1","ADRBK1","TAD_2332"
"ADRBK2","ADRBK2","TAD_3503"
"ADRM1","ADRM1","TAD_581"
"ADSS","ADSS","TAD_2339"
"AEBP1;MIR4649","AEBP1;MIR4649","TAD_2860"
"AEBP2","AEBP2","TAD_3511"
"AEN","AEN","TAD_3248"
"AES","AES","TAD_1082"
"AF007147","AF007147","TAD_2937"
"AF020763","AF020763","TAD_3689"
"AF035281;LOC155060;ZNF783","AF035281;LOC155060;ZNF783","TAD_437"
"AF075112","AF075112","TAD_400"
"AF086102","AF086102","TAD_2643"
"AF086125","AF086125","TAD_2364"
"AF086126","AF086126","TAD_1875"
"AF086132","AF086132","TAD_830"
"AF086154","AF086154","TAD_1110"
"AF090939","AF090939","TAD_226"
"AF113016","AF113016","TAD_830"
"AF119915","AF119915","TAD_2035"
"AF143871","AF143871","TAD_2376"
"AF157115","AF157115","TAD_1649"
"AF161442","AF161442","TAD_278"
"AF188711","AF188711","TAD_2392"
"AF279775","AF279775","TAD_2848"
"AF279782","AF279782","TAD_496"
"AF283776","AF283776","TAD_1109"
"AF289551","AF289551","TAD_3456"
"AF397448","AF397448","TAD_685"
"AF452719","AF452719","TAD_2828"
"AF520792","AF520792","TAD_821"
"AFAP1","AFAP1","TAD_1428"
"AFAP1L1","AFAP1L1","TAD_2692"
"AFF1","AFF1","TAD_2057"
"AFF4","AFF4","TAD_1415"
"AFMID","AFMID","TAD_1648"
"AFP","AFP","TAD_2804"
"AFTPH","AFTPH","TAD_2734"
"AGA","AGA","TAD_232"
"AGAP3;AX747175","AGAP3;AX747175","TAD_1596"
"AGAP4","AGAP4","TAD_2091"
"AGAP6","AGAP6","TAD_1703"
"AGAP7","AGAP7","TAD_2212"
"AGAP9;FLJ00312;AK309024","AGAP9;FLJ00312;AK309024","TAD_1785"
"AGBL3","AGBL3","TAD_1700"
"AGBL4","AGBL4","TAD_1036"
"AGBL5","AGBL5","TAD_350"
"AGER","AGER","TAD_4"
"AGFG2","AGFG2","TAD_772"
"AGK","AGK","TAD_149"
"AGL","AGL","TAD_1692"
"AGMAT","AGMAT","TAD_2348"
"AGMO","AGMO","TAD_216"
"AGPAT1","AGPAT1","TAD_2166"
"AGPAT4-IT1","AGPAT4-IT1","TAD_1963"
"AGPAT5","AGPAT5","TAD_2141"
"AGPAT6","AGPAT6","TAD_218"
"AGPHD1","AGPHD1","TAD_552"
"AGPS","AGPS","TAD_2586"
"AGR3","AGR3","TAD_1106"
"AGRN","AGRN","TAD_2814"
"AGTPBP1","AGTPBP1","TAD_2149"
"AGTRAP","AGTRAP","TAD_347"
"AGXT","AGXT","TAD_466"
"AGXT2L1","AGXT2L1","TAD_3412"
"AHDC1","AHDC1","TAD_1859"
"AHI1","AHI1","TAD_1162"
"AHNAK","AHNAK","TAD_565"
"AHNAK2","AHNAK2","TAD_681"
"AHR","AHR","TAD_775"
"AHRR","AHRR","TAD_3454"
"AHSA1","AHSA1","TAD_2094"
"AHSA2","AHSA2","TAD_2990"
"AHSG","AHSG","TAD_3679"
"AIF1L","AIF1L","TAD_2838"
"AIFM1","AIFM1","TAD_2760"
"AIFM2","AIFM2","TAD_213"
"AIMP1","AIMP1","TAD_903"
"AIP","AIP","TAD_1619"
"AIRE","AIRE","TAD_2982"
"AJ276246","AJ276246","TAD_2827"
"AJ278121;HSPB6","AJ278121;HSPB6","TAD_2892"
"AJ420566","AJ420566","TAD_2191"
"AJ606331","AJ606331","TAD_1582"
"AK000798","AK000798","TAD_1968"
"AK001057","AK001057","TAD_3150"
"AK001582","AK001582","TAD_3485"
"AK001875","AK001875","TAD_88"
"AK021551","AK021551","TAD_652"
"AK021563","AK021563","TAD_1174"
"AK021570","AK021570","TAD_1692"
"AK021739","AK021739","TAD_141"
"AK021804","AK021804","TAD_3332"
"AK021977","AK021977","TAD_3689"
"AK022793","AK022793","TAD_2414"
"AK022898","AK022898","TAD_776"
"AK022997","AK022997","TAD_2415"
"AK023040","AK023040","TAD_2738"
"AK023178;PP7080","AK023178;PP7080","TAD_1732"
"AK023304","AK023304","TAD_681"
"AK023417;BC126296","AK023417;BC126296","TAD_3689"
"AK023457","AK023457","TAD_1079"
"AK023566","AK023566","TAD_1090"
"AK023627","AK023627","TAD_2835"
"AK024119","AK024119","TAD_3266"
"AK024141","AK024141","TAD_1161"
"AK024243","AK024243","TAD_771"
"AK024248","AK024248","TAD_3484"
"AK024535;STAT3;AK092965","AK024535;STAT3;AK092965","TAD_2504"
"AK024736","AK024736","TAD_3373"
"AK024936","AK024936","TAD_3483"
"AK024998","AK024998","TAD_1499"
"AK025061","AK025061","TAD_2498"
"AK025117","AK025117","TAD_3261"
"AK025288","AK025288","TAD_2825"
"AK025321","AK025321","TAD_1415"
"AK025726","AK025726","TAD_651"
"AK025793","AK025793","TAD_1135"
"AK026101","AK026101","TAD_1865"
"AK026244","AK026244","TAD_3490"
"AK026379","AK026379","TAD_1127"
"AK026392;MXD4;MIR4800","AK026392;MXD4;MIR4800","TAD_3437"
"AK026736;ITGB6","AK026736;ITGB6","TAD_1919"
"AK026758","AK026758","TAD_3274"
"AK026965","AK026965","TAD_3533"
"AK027145","AK027145","TAD_3364"
"AK027252;ATP8A1","AK027252;ATP8A1","TAD_3380"
"AK027257","AK027257","TAD_1421"
"AK027541","AK027541","TAD_2658"
"AK054623","AK054623","TAD_492"
"AK054635;SRSF10","AK054635;SRSF10","TAD_1505"
"AK054708","AK054708","TAD_2045"
"AK054753","AK054753","TAD_2473"
"AK054845","AK054845","TAD_1699"
"AK054880","AK054880","TAD_1785"
"AK054921","AK054921","TAD_2728"
"AK055017","AK055017","TAD_1911"
"AK055055","AK055055","TAD_1557"
"AK055250","AK055250","TAD_3369"
"AK055254","AK055254","TAD_1310"
"AK055272","AK055272","TAD_1165"
"AK055323","AK055323","TAD_2116"
"AK055332","AK055332","TAD_1482"
"AK055368;ETV1","AK055368;ETV1","TAD_2114"
"AK055370","AK055370","TAD_3512"
"AK055408","AK055408","TAD_2283"
"AK055458","AK055458","TAD_1610"
"AK055601","AK055601","TAD_565"
"AK055746","AK055746","TAD_654"
"AK055803","AK055803","TAD_1533"
"AK055974","AK055974","TAD_2980"
"AK055981","AK055981","TAD_2754"
"AK056073","AK056073","TAD_289"
"AK056077","AK056077","TAD_1968"
"AK056081","AK056081","TAD_2949"
"AK056084","AK056084","TAD_3307"
"AK056105","AK056105","TAD_141"
"AK056196","AK056196","TAD_1297"
"AK056332","AK056332","TAD_3016"
"AK056485","AK056485","TAD_1599"
"AK056556","AK056556","TAD_261"
"AK056558","AK056558","TAD_2838"
"AK056584","AK056584","TAD_3571"
"AK056618","AK056618","TAD_2213"
"AK056657","AK056657","TAD_1508"
"AK056686","AK056686","TAD_2551"
"AK056780","AK056780","TAD_819"
"AK056817","AK056817","TAD_2466"
"AK056973","AK056973","TAD_3384"
"AK056982","AK056982","TAD_178"
"AK057188","AK057188","TAD_3067"
"AK057218","AK057218","TAD_245"
"AK057259","AK057259","TAD_2472"
"AK057304","AK057304","TAD_705"
"AK057455","AK057455","TAD_3165"
"AK057719","AK057719","TAD_3503"
"AK057873","AK057873","TAD_1689"
"AK057935","AK057935","TAD_2059"
"AK074469","AK074469","TAD_2204"
"AK074476","AK074476","TAD_1771"
"AK090553","AK090553","TAD_2364"
"AK090688","AK090688","TAD_1421"
"AK090700","AK090700","TAD_3149"
"AK090844","AK090844","TAD_2597"
"AK090973","AK090973","TAD_3428"
"AK091028","AK091028","TAD_1090"
"AK091275","AK091275","TAD_2392"
"AK091365","AK091365","TAD_565"
"AK091729","AK091729","TAD_1184"
"AK091906","AK091906","TAD_1123"
"AK092080","AK092080","TAD_540"
"AK092087","AK092087","TAD_220"
"AK092143","AK092143","TAD_3269"
"AK092380","AK092380","TAD_1167"
"AK092589","AK092589","TAD_1188"
"AK093002","AK093002","TAD_1625"
"AK093026","AK093026","TAD_581"
"AK093107","AK093107","TAD_561"
"AK093205","AK093205","TAD_3395"
"AK093214","AK093214","TAD_1434"
"AK093264","AK093264","TAD_586"
"AK093279","AK093279","TAD_956"
"AK093356","AK093356","TAD_2346"
"AK093513","AK093513","TAD_2178"
"AK093519","AK093519","TAD_1682"
"AK093534","AK093534","TAD_2736"
"AK093871","AK093871","TAD_2181"
"AK094156","AK094156","TAD_1174"
"AK094188","AK094188","TAD_3067"
"AK094196","AK094196","TAD_2867"
"AK094343","AK094343","TAD_2696"
"AK094352","AK094352","TAD_318"
"AK094480","AK094480","TAD_2672"
"AK094562","AK094562","TAD_1123"
"AK094639","AK094639","TAD_711"
"AK094674","AK094674","TAD_945"
"AK094692","AK094692","TAD_2785"
"AK094715","AK094715","TAD_3412"
"AK094934","AK094934","TAD_2949"
"AK094945","AK094945","TAD_2228"
"AK094963","AK094963","TAD_1009"
"AK094985","AK094985","TAD_2332"
"AK095112;AK126318","AK095112;AK126318","TAD_775"
"AK095117","AK095117","TAD_3079"
"AK095132","AK095132","TAD_1084"
"AK095210","AK095210","TAD_2838"
"AK095221","AK095221","TAD_1169"
"AK095267","AK095267","TAD_2392"
"AK095335","AK095335","TAD_2354"
"AK095439","AK095439","TAD_2196"
"AK095633","AK095633","TAD_513"
"AK096023","AK096023","TAD_1099"
"AK096219","AK096219","TAD_513"
"AK096230","AK096230","TAD_3466"
"AK096233;PRICKLE1","AK096233;PRICKLE1","TAD_1084"
"AK096279","AK096279","TAD_2276"
"AK096314","AK096314","TAD_3454"
"AK096319","AK096319","TAD_2412"
"AK096329","AK096329","TAD_230"
"AK096335","AK096335","TAD_192"
"AK096499","AK096499","TAD_3087"
"AK096622","AK096622","TAD_1359"
"AK096792","AK096792","TAD_2049"
"AK096803","AK096803","TAD_2791"
"AK096834","AK096834","TAD_3234"
"AK096932","AK096932","TAD_507"
"AK096976","AK096976","TAD_1325"
"AK096982","AK096982","TAD_507"
"AK097012;MKNK2","AK097012;MKNK2","TAD_423"
"AK097119","AK097119","TAD_1181"
"AK097190","AK097190","TAD_173"
"AK097283","AK097283","TAD_169"
"AK097288","AK097288","TAD_1423"
"AK097351;TEAD2","AK097351;TEAD2","TAD_59"
"AK097428","AK097428","TAD_1624"
"AK097446","AK097446","TAD_3038"
"AK097500","AK097500","TAD_2178"
"AK097571","AK097571","TAD_3145"
"AK097590","AK097590","TAD_143"
"AK097607","AK097607","TAD_1731"
"AK097625","AK097625","TAD_254"
"AK097787","AK097787","TAD_832"
"AK097791","AK097791","TAD_1189"
"AK097878","AK097878","TAD_2170"
"AK097902","AK097902","TAD_437"
"AK098067","AK098067","TAD_1231"
"AK098263","AK098263","TAD_1609"
"AK098438","AK098438","TAD_1499"
"AK098570","AK098570","TAD_793"
"AK098665","AK098665","TAD_2131"
"AK098769","AK098769","TAD_2434"
"AK1","AK1","TAD_1397"
"AK123100","AK123100","TAD_142"
"AK123141","AK123141","TAD_3482"
"AK123177","AK123177","TAD_2764"
"AK123181;TMEM120B","AK123181;TMEM120B","TAD_1622"
"AK123263","AK123263","TAD_3003"
"AK123292","AK123292","TAD_3378"
"AK123314;VAV2","AK123314;VAV2","TAD_1697"
"AK123440","AK123440","TAD_2"
"AK123450","AK123450","TAD_1953"
"AK123582","AK123582","TAD_593"
"AK123584","AK123584","TAD_3484"
"AK123617","AK123617","TAD_3676"
"AK123675","AK123675","TAD_1740"
"AK123826","AK123826","TAD_3146"
"AK123998","AK123998","TAD_1557"
"AK124056","AK124056","TAD_2556"
"AK124173","AK124173","TAD_2454"
"AK124179","AK124179","TAD_1482"
"AK124308","AK124308","TAD_1123"
"AK124484","AK124484","TAD_2863"
"AK124928","AK124928","TAD_3173"
"AK124970","AK124970","TAD_3328"
"AK125001","AK125001","TAD_85"
"AK125083","AK125083","TAD_1794"
"AK125157","AK125157","TAD_1421"
"AK125212","AK125212","TAD_2819"
"AK125301","AK125301","TAD_2994"
"AK125429","AK125429","TAD_586"
"AK125437","AK125437","TAD_2191"
"AK125489","AK125489","TAD_3496"
"AK125516","AK125516","TAD_1082"
"AK125558","AK125558","TAD_337"
"AK125599","AK125599","TAD_3629"
"AK125699;BNIP3","AK125699;BNIP3","TAD_2825"
"AK125749","AK125749","TAD_1732"
"AK125759","AK125759","TAD_1624"
"AK125769","AK125769","TAD_3165"
"AK125821","AK125821","TAD_2401"
"AK125860","AK125860","TAD_2164"
"AK125871","AK125871","TAD_1000"
"AK126075","AK126075","TAD_513"
"AK126225;CLPTM1L","AK126225;CLPTM1L","TAD_2119"
"AK126253","AK126253","TAD_1825"
"AK126266","AK126266","TAD_2844"
"AK126286","AK126286","TAD_2715"
"AK126293","AK126293","TAD_1742"
"AK126380","AK126380","TAD_1203"
"AK126532","AK126532","TAD_791"
"AK126539","AK126539","TAD_417"
"AK126693","AK126693","TAD_2518"
"AK126744","AK126744","TAD_3679"
"AK127087","AK127087","TAD_723"
"AK127179;DICER1-AS1","AK127179;DICER1-AS1","TAD_1184"
"AK127191","AK127191","TAD_2310"
"AK127270","AK127270","TAD_2116"
"AK127400","AK127400","TAD_581"
"AK127472","AK127472","TAD_1112"
"AK127888","AK127888","TAD_1295"
"AK127889","AK127889","TAD_1508"
"AK128037","AK128037","TAD_3655"
"AK128059","AK128059","TAD_718"
"AK128346","AK128346","TAD_3243"
"AK128414","AK128414","TAD_3120"
"AK128697","AK128697","TAD_1681"
"AK128734","AK128734","TAD_1344"
"AK130076","AK130076","TAD_2434"
"AK130294;LOC92249","AK130294;LOC92249","TAD_3353"
"AK130329","AK130329","TAD_3266"
"AK130400","AK130400","TAD_1108"
"AK130481","AK130481","TAD_2486"
"AK130765","AK130765","TAD_1135"
"AK172755","AK172755","TAD_425"
"AK2","AK2","TAD_1968"
"AK225487","AK225487","TAD_670"
"AK289390","AK289390","TAD_213"
"AK291701;NACAP1","AK291701;NACAP1","TAD_230"
"AK293147","AK293147","TAD_777"
"AK294743","AK294743","TAD_796"
"AK296146","AK296146","TAD_1231"
"AK296966","AK296966","TAD_430"
"AK297919","AK297919","TAD_1757"
"AK299452","AK299452","TAD_1202"
"AK3","AK3","TAD_2756"
"AK300656","AK300656","TAD_245"
"AK303207","AK303207","TAD_471"
"AK304759","AK304759","TAD_618"
"AK307134","AK307134","TAD_1536"
"AK307154","AK307154","TAD_3049"
"AK307172","AK307172","TAD_600"
"AK307192","AK307192","TAD_3670"
"AK307207","AK307207","TAD_1648"
"AK307233","AK307233","TAD_2568"
"AK307246","AK307246","TAD_2290"
"AK309255","AK309255","TAD_1632"
"AK309286","AK309286","TAD_320"
"AK309717","AK309717","TAD_3453"
"AK309988","AK309988","TAD_1475"
"AK310493","AK310493","TAD_512"
"AK311005","AK311005","TAD_766"
"AK311106","AK311106","TAD_3409"
"AK311167","AK311167","TAD_3436"
"AK311213","AK311213","TAD_781"
"AK311282","AK311282","TAD_215"
"AK311356","AK311356","TAD_609"
"AK311380","AK311380","TAD_2917"
"AK311398","AK311398","TAD_216"
"AK311578","AK311578","TAD_51"
"AK311660","AK311660","TAD_215"
"AK4","AK4","TAD_231"
"AK5","AK5","TAD_513"
"AKAP10","AKAP10","TAD_339"
"AKAP2","AKAP2","TAD_3147"
"AKAP3","AKAP3","TAD_91"
"AKAP5","AKAP5","TAD_1304"
"AKAP6","AKAP6","TAD_2792"
"AKAP7","AKAP7","TAD_851"
"AKAP8","AKAP8","TAD_516"
"AKAP8L","AKAP8L","TAD_524"
"AKAP9","AKAP9","TAD_1047"
"AKIP1","AKIP1","TAD_1452"
"AKIRIN1","AKIRIN1","TAD_2"
"AKIRIN2","AKIRIN2","TAD_3329"
"AKR1B1","AKR1B1","TAD_1529"
"AKR1B10","AKR1B10","TAD_3310"
"AKR1C1","AKR1C1","TAD_681"
"AKR1C2","AKR1C2","TAD_2764"
"AKR1C4","AKR1C4","TAD_1938"
"AKR1CL1","AKR1CL1","TAD_798"
"AKR1D1","AKR1D1","TAD_3049"
"AKT1","AKT1","TAD_927"
"AKT3","AKT3","TAD_2827"
"AL049935","AL049935","TAD_275"
"AL050000","AL050000","TAD_1692"
"AL050132","AL050132","TAD_1619"
"AL080192","AL080192","TAD_2302"
"AL109706","AL109706","TAD_718"
"AL110181","AL110181","TAD_3157"
"AL117485;BC112340;BC051721;DQ786190","AL117485;BC112340;BC051721;DQ786190","TAD_3090"
"AL137535","AL137535","TAD_3663"
"AL137752","AL137752","TAD_3650"
"AL831889","AL831889","TAD_2831"
"AL831948","AL831948","TAD_911"
"AL832007","AL832007","TAD_2391"
"AL832184","AL832184","TAD_2238"
"AL832212;UBE2H","AL832212;UBE2H","TAD_351"
"AL832252","AL832252","TAD_1107"
"AL832262","AL832262","TAD_1582"
"AL832378","AL832378","TAD_1693"
"AL832909","AL832909","TAD_3373"
"AL833139","AL833139","TAD_2480"
"AL833181","AL833181","TAD_2838"
"ALAD","ALAD","TAD_3400"
"ALAS1","ALAS1","TAD_1610"
"ALCAM","ALCAM","TAD_1562"
"ALDH18A1","ALDH18A1","TAD_1261"
"ALDH1A1","ALDH1A1","TAD_657"
"ALDH1B1","ALDH1B1","TAD_461"
"ALDH1L2","ALDH1L2","TAD_2392"
"ALDH2","ALDH2","TAD_449"
"ALDH3A1","ALDH3A1","TAD_1135"
"ALDH3A2","ALDH3A2","TAD_1184"
"ALDH5A1","ALDH5A1","TAD_1927"
"ALDH8A1","ALDH8A1","TAD_1000"
"ALG12","ALG12","TAD_586"
"ALG13","ALG13","TAD_1648"
"ALG14","ALG14","TAD_2886"
"ALG3","ALG3","TAD_1909"
"ALG5","ALG5","TAD_2181"
"ALG6","ALG6","TAD_2119"
"ALKBH1","ALKBH1","TAD_1170"
"ALKBH6","ALKBH6","TAD_271"
"ALKBH7","ALKBH7","TAD_3489"
"ALKBH8","ALKBH8","TAD_1386"
"ALMS1","ALMS1","TAD_2516"
"ALOX12","ALOX12","TAD_449"
"ALOX12P2","ALOX12P2","TAD_1785"
"ALOX15","ALOX15","TAD_2826"
"ALOX5","ALOX5","TAD_3533"
"ALPK2","ALPK2","TAD_934"
"ALPK3","ALPK3","TAD_350"
"ALPL","ALPL","TAD_516"
"ALPPL2","ALPPL2","TAD_2531"
"ALS2","ALS2","TAD_3413"
"ALS2CL","ALS2CL","TAD_2391"
"ALS2CR11","ALS2CR11","TAD_3484"
"ALS2CR12","ALS2CR12","TAD_651"
"ALX1","ALX1","TAD_911"
"ALYREF","ALYREF","TAD_1906"
"AMBRA1","AMBRA1","TAD_3103"
"AMD1","AMD1","TAD_2294"
"AMDHD1","AMDHD1","TAD_8"
"AMH","AMH","TAD_2826"
"AMHR2","AMHR2","TAD_528"
"AMICA1","AMICA1","TAD_1536"
"AMIGO2","AMIGO2","TAD_3434"
"AMIGO3","AMIGO3","TAD_3523"
"AMMECR1","AMMECR1","TAD_3232"
"AMN","AMN","TAD_3174"
"AMOT","AMOT","TAD_2136"
"AMOTL1","AMOTL1","TAD_1045"
"AMOTL2","AMOTL2","TAD_141"
"AMPD1","AMPD1","TAD_191"
"AMPD2","AMPD2","TAD_178"
"AMPD3","AMPD3","TAD_1064"
"AMT;NICN1","AMT;NICN1","TAD_3132"
"AMZ1","AMZ1","TAD_485"
"ANAPC10","ANAPC10","TAD_271"
"ANAPC11","ANAPC11","TAD_2113"
"ANAPC16","ANAPC16","TAD_261"
"ANAPC2","ANAPC2","TAD_1184"
"ANAPC5","ANAPC5","TAD_3538"
"ANAPC7","ANAPC7","TAD_3208"
"ANG","ANG","TAD_1776"
"ANGEL2","ANGEL2","TAD_966"
"ANGPT2","ANGPT2","TAD_523"
"ANGPTL1","ANGPTL1","TAD_2239"
"ANGPTL4","ANGPTL4","TAD_2548"
"ANK1","ANK1","TAD_1622"
"ANK2","ANK2","TAD_727"
"ANK3","ANK3","TAD_1666"
