"","gene","TAD"
"ABHD6","ABHD6","TAD_1838"
"ABI2","ABI2","TAD_1424"
"ABI3","ABI3","TAD_2276"
"ABI3BP","ABI3BP","TAD_3644"
"ABL2","ABL2","TAD_1962"
"ABLIM1","ABLIM1","TAD_220"
"ABLIM2","ABLIM2","TAD_61"
"ABLIM3","ABLIM3","TAD_1870"
"ABTB2","ABTB2","TAD_868"
"ACAA1","ACAA1","TAD_2428"
"ACACA","ACACA","TAD_3437"
"ACACB","ACACB","TAD_61"
"ACAD10","ACAD10","TAD_228"
"ACAD11;NPHP3-ACAD11","ACAD11;NPHP3-ACAD11","TAD_3460"
"ACAD8","ACAD8","TAD_22"
"ACADS","ACADS","TAD_2926"
"ACAP1","ACAP1","TAD_3099"
"ACAT1","ACAT1","TAD_2682"
"ACAT2","ACAT2","TAD_1624"
"ACBD3","ACBD3","TAD_3460"
"ACBD5","ACBD5","TAD_484"
"ACBD6","ACBD6","TAD_2982"
"ACBD7","ACBD7","TAD_1424"
"ACCN2","ACCN2","TAD_3157"
"ACCN3","ACCN3","TAD_2579"
"ACCN4","ACCN4","TAD_2401"
"ACD","ACD","TAD_361"
"ACE","ACE","TAD_1688"
"ACLY","ACLY","TAD_821"
"ACO2","ACO2","TAD_2439"
"ACOT13","ACOT13","TAD_2593"
"ACOT7","ACOT7","TAD_79"
"ACOT8","ACOT8","TAD_643"
"ACOX2","ACOX2","TAD_1206"
"ACOX3","ACOX3","TAD_316"
"ACP1","ACP1","TAD_3161"
"ACP2","ACP2","TAD_3325"
"ACP6","ACP6","TAD_2726"
"ACPP","ACPP","TAD_3464"
"ACRBP","ACRBP","TAD_1611"
"ACRV1","ACRV1","TAD_2734"
"ACSF3","ACSF3","TAD_1652"
"ACSL5","ACSL5","TAD_2783"
"ACSS2","ACSS2","TAD_3119"
"ACSS3","ACSS3","TAD_61"
"ACTA1","ACTA1","TAD_1672"
"ACTA2;FAS-AS1","ACTA2;FAS-AS1","TAD_3121"
"ACTB","ACTB","TAD_3364"
"ACTG2","ACTG2","TAD_2900"
"ACTL8","ACTL8","TAD_2998"
"ACTN2","ACTN2","TAD_3016"
"ACTN3","ACTN3","TAD_1204"
"ACTN4","ACTN4","TAD_776"
"ACTR10","ACTR10","TAD_3150"
"ACTR1A","ACTR1A","TAD_2149"
"ACTR5","ACTR5","TAD_723"
"ACTR6","ACTR6","TAD_3530"
"ACTR8","ACTR8","TAD_122"
"ACVR1","ACVR1","TAD_1360"
"ACVR1C","ACVR1C","TAD_93"
"ACVR2B","ACVR2B","TAD_2504"
"ACYP2","ACYP2","TAD_149"
"ADA","ADA","TAD_2033"
"ADAM1","ADAM1","TAD_1944"
"ADAM10","ADAM10","TAD_2024"
"ADAM15","ADAM15","TAD_3503"
"ADAM19;AL049415","ADAM19;AL049415","TAD_3096"
"ADAM20","ADAM20","TAD_2912"
"ADAM22","ADAM22","TAD_2982"
"ADAM23","ADAM23","TAD_3144"
"ADAMDEC1","ADAMDEC1","TAD_1439"
"ADAMTS13","ADAMTS13","TAD_2094"
"ADAMTS15","ADAMTS15","TAD_791"
"ADAMTS17","ADAMTS17","TAD_59"
"ADAMTS18","ADAMTS18","TAD_2726"
"ADAMTS6","ADAMTS6","TAD_2367"
"ADAMTS8","ADAMTS8","TAD_2405"
"ADAMTSL4","ADAMTSL4","TAD_1198"
"ADAP2","ADAP2","TAD_733"
"ADAR","ADAR","TAD_2320"
"ADARB1","ADARB1","TAD_2999"
"ADAT1","ADAT1","TAD_777"
"ADCK1","ADCK1","TAD_1344"
"ADCK3","ADCK3","TAD_1799"
"ADCK4","ADCK4","TAD_3533"
"ADCK5","ADCK5","TAD_175"
"ADCY5","ADCY5","TAD_2978"
"ADCY6;MIR4701","ADCY6;MIR4701","TAD_670"
"ADCY7","ADCY7","TAD_606"
"ADCY9","ADCY9","TAD_1766"
"ADD2","ADD2","TAD_1003"
"ADI1","ADI1","TAD_1568"
"ADIPOR2","ADIPOR2","TAD_241"
"ADM2","ADM2","TAD_2682"
"ADNP2","ADNP2","TAD_2181"
"ADO","ADO","TAD_1693"
"ADORA1","ADORA1","TAD_3535"
"ADPRH","ADPRH","TAD_3204"
"ADPRHL1","ADPRHL1","TAD_2937"
"ADRA1B","ADRA1B","TAD_764"
"ADRB1","ADRB1","TAD_1625"
"ADRB2","ADRB2","TAD_3012"
"ADRBK1","ADRBK1","TAD_1665"
"ADRM1","ADRM1","TAD_3120"
"ADSS","ADSS","TAD_276"
"AEBP1;MIR4649","AEBP1;MIR4649","TAD_1421"
"AEBP2","AEBP2","TAD_2821"
"AEN","AEN","TAD_1361"
"AES","AES","TAD_381"
"AF007147","AF007147","TAD_1352"
"AF020763","AF020763","TAD_508"
"AF035281;LOC155060;ZNF783","AF035281;LOC155060;ZNF783","TAD_1906"
"AF055024","AF055024","TAD_676"
"AF075112","AF075112","TAD_1606"
"AF086102","AF086102","TAD_1352"
"AF086125","AF086125","TAD_3009"
"AF086132","AF086132","TAD_2976"
"AF086184","AF086184","TAD_2180"
"AF086285","AF086285","TAD_1003"
"AF086351","AF086351","TAD_551"
"AF113016","AF113016","TAD_606"
"AF157115","AF157115","TAD_956"
"AF161365","AF161365","TAD_1593"
"AF161442","AF161442","TAD_2726"
"AF198444","AF198444","TAD_1904"
"AF283776","AF283776","TAD_1123"
"AF289551","AF289551","TAD_2886"
"AF452719","AF452719","TAD_956"
"AF520792","AF520792","TAD_1733"
"AF520793","AF520793","TAD_2433"
"AFAP1","AFAP1","TAD_419"
"AFAP1L1","AFAP1L1","TAD_2825"
"AFAP1L2","AFAP1L2","TAD_2569"
"AFF4","AFF4","TAD_2443"
"AFMID","AFMID","TAD_3179"
"AFP","AFP","TAD_1870"
"AFTPH","AFTPH","TAD_1673"
"AGA","AGA","TAD_1657"
"AGAP3;AX747175","AGAP3;AX747175","TAD_1040"
"AGBL3","AGBL3","TAD_2954"
"AGBL5","AGBL5","TAD_1205"
"AGER","AGER","TAD_1962"
"AGFG1","AGFG1","TAD_1360"
"AGFG2","AGFG2","TAD_3629"
"AGGF1","AGGF1","TAD_2376"
"AGL","AGL","TAD_124"
"AGMAT","AGMAT","TAD_1240"
"AGPAT1","AGPAT1","TAD_2855"
"AGPAT2","AGPAT2","TAD_532"
"AGPAT4","AGPAT4","TAD_2281"
"AGPAT4-IT1","AGPAT4-IT1","TAD_1189"
"AGPAT6","AGPAT6","TAD_570"
"AGPAT9","AGPAT9","TAD_2643"
"AGPHD1","AGPHD1","TAD_1545"
"AGR2","AGR2","TAD_796"
"AGRN","AGRN","TAD_2554"
"AGTRAP","AGTRAP","TAD_2498"
"AHCYL2","AHCYL2","TAD_1304"
"AHDC1","AHDC1","TAD_1452"
"AHNAK2","AHNAK2","TAD_3520"
"AHR","AHR","TAD_273"
"AHRR","AHRR","TAD_3132"
"AHSA1","AHSA1","TAD_2191"
"AHSA2","AHSA2","TAD_1624"
"AHSG","AHSG","TAD_2857"
"AIDA","AIDA","TAD_3110"
"AIF1L","AIF1L","TAD_1358"
"AIFM1","AIFM1","TAD_3329"
"AIFM2","AIFM2","TAD_3355"
"AIFM3","AIFM3","TAD_280"
"AIG1","AIG1","TAD_779"
"AIM1L","AIM1L","TAD_485"
"AIMP1","AIMP1","TAD_73"
"AIP","AIP","TAD_1198"
"AJ278121;HSPB6","AJ278121;HSPB6","TAD_1500"
"AK001394","AK001394","TAD_1673"
"AK001875","AK001875","TAD_2399"
"AK021570","AK021570","TAD_1181"
"AK021739","AK021739","TAD_1609"
"AK021804","AK021804","TAD_2272"
"AK021876","AK021876","TAD_3360"
"AK021888","AK021888","TAD_2136"
"AK022793","AK022793","TAD_2554"
"AK022898","AK022898","TAD_1688"
"AK022993","AK022993","TAD_1297"
"AK022997","AK022997","TAD_3145"
"AK023040","AK023040","TAD_1284"
"AK023178;PP7080","AK023178;PP7080","TAD_3266"
"AK023457","AK023457","TAD_3364"
"AK023566","AK023566","TAD_834"
"AK023627","AK023627","TAD_1784"
"AK023629","AK023629","TAD_2658"
"AK024119","AK024119","TAD_1292"
"AK024535;STAT3;AK092965","AK024535;STAT3;AK092965","TAD_1587"
"AK024736","AK024736","TAD_1631"
"AK025061","AK025061","TAD_1146"
"AK025127","AK025127","TAD_3644"
"AK025288","AK025288","TAD_1263"
"AK025321","AK025321","TAD_3364"
"AK025726","AK025726","TAD_2703"
"AK025793","AK025793","TAD_2860"
"AK026101","AK026101","TAD_830"
"AK026244","AK026244","TAD_245"
"AK026379","AK026379","TAD_1913"
"AK026392;MXD4;MIR4800","AK026392;MXD4;MIR4800","TAD_1103"
"AK026758","AK026758","TAD_670"
"AK027541","AK027541","TAD_2441"
"AK054880","AK054880","TAD_802"
"AK055017","AK055017","TAD_1632"
"AK055250","AK055250","TAD_1440"
"AK055254","AK055254","TAD_245"
"AK055260","AK055260","TAD_1052"
"AK055272","AK055272","TAD_1971"
"AK055323","AK055323","TAD_1625"
"AK055370","AK055370","TAD_530"
"AK055408","AK055408","TAD_3289"
"AK055601","AK055601","TAD_2736"
"AK055666","AK055666","TAD_2281"
"AK055746","AK055746","TAD_3329"
"AK055981","AK055981","TAD_320"
"AK056073","AK056073","TAD_2276"
"AK056182","AK056182","TAD_172"
"AK056196","AK056196","TAD_1022"
"AK056211","AK056211","TAD_1112"
"AK056332","AK056332","TAD_2839"
"AK056431","AK056431","TAD_1951"
"AK056556","AK056556","TAD_651"
"AK056558","AK056558","TAD_1666"
"AK056657","AK056657","TAD_3003"
"AK056683","AK056683","TAD_1963"
"AK056817","AK056817","TAD_1693"
"AK056973","AK056973","TAD_2415"
"AK056982","AK056982","TAD_525"
"AK057259","AK057259","TAD_14"
"AK057719","AK057719","TAD_169"
"AK057873","AK057873","TAD_1140"
"AK057887","AK057887","TAD_796"
"AK074469","AK074469","TAD_1183"
"AK074476","AK074476","TAD_2969"
"AK090553","AK090553","TAD_1123"
"AK090593","AK090593","TAD_1265"
"AK090688","AK090688","TAD_2726"
"AK090844","AK090844","TAD_1682"
"AK090904","AK090904","TAD_2830"
"AK091028","AK091028","TAD_1673"
"AK091275","AK091275","TAD_757"
"AK091729","AK091729","TAD_552"
"AK092048","AK092048","TAD_2994"
"AK092080","AK092080","TAD_474"
"AK092380","AK092380","TAD_2483"
"AK092589","AK092589","TAD_1701"
"AK093026","AK093026","TAD_2738"
"AK093264","AK093264","TAD_216"
"AK093299","AK093299","TAD_373"
"AK093356","AK093356","TAD_2281"
"AK093416","AK093416","TAD_1167"
"AK093513","AK093513","TAD_216"
"AK093519","AK093519","TAD_2166"
"AK093534","AK093534","TAD_1014"
"AK093898","AK093898","TAD_2835"
"AK094188","AK094188","TAD_358"
"AK094196","AK094196","TAD_1727"
"AK094343","AK094343","TAD_2159"
"AK094480","AK094480","TAD_1148"
"AK094562","AK094562","TAD_2283"
"AK094621","AK094621","TAD_370"
"AK094715","AK094715","TAD_1626"
"AK094945","AK094945","TAD_2228"
"AK094963","AK094963","TAD_184"
"AK094985","AK094985","TAD_3013"
"AK095112;AK126318","AK095112;AK126318","TAD_1315"
"AK095117","AK095117","TAD_2272"
"AK095267","AK095267","TAD_229"
"AK095335","AK095335","TAD_3571"
"AK095439","AK095439","TAD_552"
"AK096219","AK096219","TAD_1963"
"AK096230","AK096230","TAD_1174"
"AK096233;PRICKLE1","AK096233;PRICKLE1","TAD_541"
"AK096279","AK096279","TAD_2532"
"AK096314","AK096314","TAD_3040"
"AK096319","AK096319","TAD_3679"
"AK096475","AK096475","TAD_3012"
"AK096622","AK096622","TAD_719"
"AK096834","AK096834","TAD_1701"
"AK096976","AK096976","TAD_2272"
"AK096982","AK096982","TAD_2531"
"AK097012;MKNK2","AK097012;MKNK2","TAD_1261"
"AK097161","AK097161","TAD_1020"
"AK097283","AK097283","TAD_769"
"AK097288","AK097288","TAD_2083"
"AK097351;TEAD2","AK097351;TEAD2","TAD_542"
"AK097472","AK097472","TAD_1985"
"AK097590","AK097590","TAD_2526"
"AK097607","AK097607","TAD_1146"
"AK097625","AK097625","TAD_3361"
"AK097787","AK097787","TAD_2907"
"AK097791","AK097791","TAD_1996"
"AK097902","AK097902","TAD_101"
"AK098198","AK098198","TAD_3573"
"AK098263","AK098263","TAD_3119"
"AK098769","AK098769","TAD_1217"
"AK1","AK1","TAD_91"
"AK123100","AK123100","TAD_1577"
"AK123177","AK123177","TAD_1665"
"AK123263","AK123263","TAD_1106"
"AK123450","AK123450","TAD_974"
"AK123582","AK123582","TAD_2756"
"AK123584","AK123584","TAD_1294"
"AK123617","AK123617","TAD_557"
"AK123675","AK123675","TAD_1062"
"AK123826","AK123826","TAD_944"
"AK123947","AK123947","TAD_3456"
"AK123998","AK123998","TAD_1962"
"AK124179","AK124179","TAD_256"
"AK124465;GFAP","AK124465;GFAP","TAD_1584"
"AK124484","AK124484","TAD_1881"
"AK124928","AK124928","TAD_137"
"AK124930","AK124930","TAD_2494"
"AK124973","AK124973","TAD_1290"
"AK125001","AK125001","TAD_1589"
"AK125212","AK125212","TAD_350"
"AK125301","AK125301","TAD_2274"
"AK125516","AK125516","TAD_1919"
"AK125558","AK125558","TAD_624"
"AK125676","AK125676","TAD_1421"
"AK125759","AK125759","TAD_2732"
"AK125821","AK125821","TAD_1419"
"AK126209;C8orf42","AK126209;C8orf42","TAD_678"
"AK126225;CLPTM1L","AK126225;CLPTM1L","TAD_1482"
"AK126278","AK126278","TAD_213"
"AK126286","AK126286","TAD_2187"
"AK126380","AK126380","TAD_2212"
"AK126539","AK126539","TAD_540"
"AK126693","AK126693","TAD_1360"
"AK127179;DICER1-AS1","AK127179;DICER1-AS1","TAD_85"
"AK127190","AK127190","TAD_1360"
"AK127191","AK127191","TAD_2658"
"AK127380","AK127380","TAD_850"
"AK127400","AK127400","TAD_1582"
"AK127555","AK127555","TAD_476"
"AK127697","AK127697","TAD_3260"
"AK127889","AK127889","TAD_2747"
"AK128153","AK128153","TAD_492"
"AK128346","AK128346","TAD_3478"
"AK128400","AK128400","TAD_2856"
"AK128559","AK128559","TAD_2044"
"AK128569","AK128569","TAD_3119"
"AK128697","AK128697","TAD_2554"
"AK130076","AK130076","TAD_3535"
"AK130294;LOC92249","AK130294;LOC92249","TAD_3005"
"AK130329","AK130329","TAD_2324"
"AK130481","AK130481","TAD_513"
"AK131020","AK131020","TAD_2982"
"AK172755","AK172755","TAD_3651"
"AK2","AK2","TAD_1345"
"AK289390","AK289390","TAD_763"
"AK293147","AK293147","TAD_2697"
"AK294743","AK294743","TAD_367"
"AK296065","AK296065","TAD_3571"
"AK296966","AK296966","TAD_3417"
"AK297919","AK297919","TAD_662"
"AK3","AK3","TAD_1690"
"AK301093","AK301093","TAD_3304"
"AK304759","AK304759","TAD_2052"
"AK307134","AK307134","TAD_1691"
"AK307192","AK307192","TAD_552"
"AK307233","AK307233","TAD_821"
"AK307246","AK307246","TAD_1418"
"AK308944","AK308944","TAD_2738"
"AK308965","AK308965","TAD_229"
"AK309286","AK309286","TAD_570"
"AK309441;WWTR1-AS1","AK309441;WWTR1-AS1","TAD_2643"
"AK310493","AK310493","TAD_2140"
"AK311167","AK311167","TAD_2982"
"AK311213","AK311213","TAD_2260"
"AK311356","AK311356","TAD_1693"
"AK311398","AK311398","TAD_2060"
"AK311497","AK311497","TAD_1977"
"AK311578","AK311578","TAD_829"
"AK4","AK4","TAD_1184"
"AK5","AK5","TAD_732"
"AK7","AK7","TAD_3621"
"AKAP3","AKAP3","TAD_1997"
"AKAP5","AKAP5","TAD_1202"
"AKAP8","AKAP8","TAD_718"
"AKAP8L","AKAP8L","TAD_78"
"AKAP9","AKAP9","TAD_1442"
"AKIP1","AKIP1","TAD_2821"
"AKIRIN1","AKIRIN1","TAD_617"
"AKIRIN2","AKIRIN2","TAD_149"
"AKR1B1","AKR1B1","TAD_587"
"AKR1C1","AKR1C1","TAD_2839"
"AKR1C2","AKR1C2","TAD_985"
"AKR1C3","AKR1C3","TAD_480"
"AKR1C4","AKR1C4","TAD_2568"
"AKR1CL1","AKR1CL1","TAD_1659"
"AKT1","AKT1","TAD_240"
"AL049935","AL049935","TAD_1062"
"AL080192","AL080192","TAD_2979"
"AL109706","AL109706","TAD_2602"
"AL133111","AL133111","TAD_2797"
"AL137535","AL137535","TAD_2228"
"AL137752","AL137752","TAD_1003"
"AL355711","AL355711","TAD_3478"
"AL357213","AL357213","TAD_3352"
"AL360260","AL360260","TAD_124"
"AL831889","AL831889","TAD_3307"
"AL831948","AL831948","TAD_3417"
"AL832007","AL832007","TAD_1662"
"AL832184","AL832184","TAD_2266"
"AL832252","AL832252","TAD_2593"
"AL832262","AL832262","TAD_98"
"AL832891;CYR61","AL832891;CYR61","TAD_3165"
"AL832909","AL832909","TAD_3144"
"ALAD","ALAD","TAD_1927"
"ALDH18A1","ALDH18A1","TAD_313"
"ALDH1L1","ALDH1L1","TAD_2664"
"ALDH1L2","ALDH1L2","TAD_185"
"ALDH2","ALDH2","TAD_2915"
"ALDH3A1","ALDH3A1","TAD_1838"
"ALDH3A2","ALDH3A2","TAD_1603"
"ALDH5A1","ALDH5A1","TAD_2737"
"ALDH9A1","ALDH9A1","TAD_1605"
"ALG12","ALG12","TAD_628"
"ALG13","ALG13","TAD_2860"
"ALG3","ALG3","TAD_243"
"ALG5","ALG5","TAD_757"
"ALG6","ALG6","TAD_1423"
"ALKBH1","ALKBH1","TAD_1411"
"ALKBH3;LOC729799","ALKBH3;LOC729799","TAD_3331"
"ALKBH6","ALKBH6","TAD_954"
"ALKBH7","ALKBH7","TAD_1503"
"ALKBH8","ALKBH8","TAD_821"
"ALOX12P2","ALOX12P2","TAD_2756"
"ALOX15","ALOX15","TAD_1963"
"ALOX15B","ALOX15B","TAD_2316"
"ALOX5","ALOX5","TAD_223"
"ALPI","ALPI","TAD_429"
"ALPK3","ALPK3","TAD_2144"
"ALPL","ALPL","TAD_2837"
"ALPP","ALPP","TAD_295"
"ALPPL2","ALPPL2","TAD_1776"
"ALS2","ALS2","TAD_1615"
"ALS2CL","ALS2CL","TAD_169"
"ALS2CR11","ALS2CR11","TAD_1651"
"ALS2CR12","ALS2CR12","TAD_59"
"ALS2CR8","ALS2CR8","TAD_2836"
"ALX1","ALX1","TAD_1530"
"ALYREF","ALYREF","TAD_1771"
"AMBRA1","AMBRA1","TAD_3307"
"AMD1","AMD1","TAD_603"
"AMDHD1","AMDHD1","TAD_2726"
"AMH","AMH","TAD_678"
"AMHR2","AMHR2","TAD_1703"
"AMIGO2","AMIGO2","TAD_1688"
"AMIGO3","AMIGO3","TAD_2035"
"AMMECR1","AMMECR1","TAD_1360"
"AMN","AMN","TAD_1304"
"AMOTL1","AMOTL1","TAD_624"
"AMPD2","AMPD2","TAD_1110"
"AMPD3","AMPD3","TAD_752"
"AMT;NICN1","AMT;NICN1","TAD_1010"
"AMZ1","AMZ1","TAD_1475"
"ANAPC11","ANAPC11","TAD_1290"
"ANAPC16","ANAPC16","TAD_2136"
"ANAPC5","ANAPC5","TAD_3485"
"ANG","ANG","TAD_3484"
"ANGEL2","ANGEL2","TAD_581"
"ANGPTL4","ANGPTL4","TAD_2258"
"ANGPTL6","ANGPTL6","TAD_2749"
"ANK1","ANK1","TAD_2404"
"ANK2","ANK2","TAD_2833"
"ANK3","ANK3","TAD_1297"
"ANKAR","ANKAR","TAD_487"
"ANKDD1A","ANKDD1A","TAD_2836"
"ANKHD1","ANKHD1","TAD_692"
"ANKHD1-EIF4EBP3","ANKHD1-EIF4EBP3","TAD_136"
"ANKK1","ANKK1","TAD_2272"
"ANKMY2","ANKMY2","TAD_2483"
"ANKRD12","ANKRD12","TAD_3523"
"ANKRD13A","ANKRD13A","TAD_670"
"ANKRD13C","ANKRD13C","TAD_1141"
"ANKRD13D","ANKRD13D","TAD_1284"
"ANKRD16;AK129672","ANKRD16;AK129672","TAD_2268"
"ANKRD2","ANKRD2","TAD_1947"
"ANKRD20A4","ANKRD20A4","TAD_3355"
"ANKRD23","ANKRD23","TAD_566"
"ANKRD24","ANKRD24","TAD_3478"
"ANKRD26","ANKRD26","TAD_220"
"ANKRD29","ANKRD29","TAD_2858"
"ANKRD31","ANKRD31","TAD_1784"
"ANKRD32","ANKRD32","TAD_271"
"ANKRD33B","ANKRD33B","TAD_717"
"ANKRD34A","ANKRD34A","TAD_2001"
"ANKRD37","ANKRD37","TAD_351"
"ANKRD40","ANKRD40","TAD_1969"
"ANKRD42","ANKRD42","TAD_2363"
"ANKRD45","ANKRD45","TAD_3120"
"ANKRD49","ANKRD49","TAD_2367"
"ANKRD5","ANKRD5","TAD_1706"
"ANKRD52","ANKRD52","TAD_3222"
"ANKRD6","ANKRD6","TAD_2052"
"ANKRD65","ANKRD65","TAD_1493"
"ANKRD9","ANKRD9","TAD_2350"
"ANKS1B","ANKS1B","TAD_1198"
"ANKS3","ANKS3","TAD_1766"
"ANKUB1","ANKUB1","TAD_2346"
"ANKZF1","ANKZF1","TAD_3440"
"ANO10","ANO10","TAD_777"
"ANO4","ANO4","TAD_150"
"ANO6","ANO6","TAD_628"
"ANO7","ANO7","TAD_1423"
"ANO9","ANO9","TAD_1360"
"ANP32A","ANP32A","TAD_1734"
"ANP32AP1","ANP32AP1","TAD_1866"
"ANXA2P1","ANXA2P1","TAD_95"
"ANXA2P3","ANXA2P3","TAD_2498"
"ANXA5","ANXA5","TAD_1914"
"ANXA6","ANXA6","TAD_771"
"ANXA7","ANXA7","TAD_232"
"AOC2","AOC2","TAD_819"
"AOX1","AOX1","TAD_1732"
"AOX2P","AOX2P","TAD_2980"
"AP1G1","AP1G1","TAD_2010"
"AP1M2","AP1M2","TAD_1107"
"AP1S1","AP1S1","TAD_1680"
"AP2A1","AP2A1","TAD_1995"
"AP2M1","AP2M1","TAD_1655"
"AP2S1","AP2S1","TAD_3503"
"AP3B1","AP3B1","TAD_1266"
"AP3B2;DQ601936","AP3B2;DQ601936","TAD_254"
"AP3M2","AP3M2","TAD_2826"
"AP3S2","AP3S2","TAD_220"
"AP4B1","AP4B1","TAD_3412"
"AP4S1","AP4S1","TAD_3388"
"APAF1","APAF1","TAD_1199"
"APBA1","APBA1","TAD_2839"
"APBA3","APBA3","TAD_1538"
"APBB1","APBB1","TAD_1645"
"APBB1IP","APBB1IP","TAD_2551"
"APBB3","APBB3","TAD_3464"
"APC","APC","TAD_1672"
"APEX1","APEX1","TAD_3535"
"APEX2","APEX2","TAD_3451"
"APH1A","APH1A","TAD_1508"
"APH1B","APH1B","TAD_2855"
"APLN","APLN","TAD_81"
"APLP1","APLP1","TAD_1062"
"APLP2;DQ600312","APLP2;DQ600312","TAD_2376"
"APOBEC3A","APOBEC3A","TAD_567"
"APOBEC3B","APOBEC3B","TAD_1832"
"APOBEC3C","APOBEC3C","TAD_2692"
"APOBEC3D","APOBEC3D","TAD_524"
"APOBEC3F","APOBEC3F","TAD_2998"
"APOBEC3G","APOBEC3G","TAD_1413"
"APOBR","APOBR","TAD_849"
"APOF","APOF","TAD_1296"
"APOM","APOM","TAD_3571"
"APOO","APOO","TAD_2591"
"APP","APP","TAD_781"
"APPBP2","APPBP2","TAD_3043"
"APPL1","APPL1","TAD_2840"
"APRT","APRT","TAD_2140"
"AQP1","AQP1","TAD_1500"
"AQP10","AQP10","TAD_1161"
"AQP6","AQP6","TAD_2826"
"AQP8","AQP8","TAD_2739"
"ARAF","ARAF","TAD_3321"
"ARAP2","ARAP2","TAD_3650"
"AREG","AREG","TAD_1732"
"ARF3","ARF3","TAD_2804"
"ARF4","ARF4","TAD_1380"
"ARF5","ARF5","TAD_2746"
"ARF6","ARF6","TAD_2367"
"ARFGAP1","ARFGAP1","TAD_3483"
"ARFGAP3","ARFGAP3","TAD_1290"
"ARFGEF1","ARFGEF1","TAD_1645"
"ARFIP2","ARFIP2","TAD_289"
"ARFRP1","ARFRP1","TAD_1666"
"ARG2","ARG2","TAD_1295"
"ARGFX","ARGFX","TAD_62"
"ARHGAP1","ARHGAP1","TAD_2276"
"ARHGAP17;AF258560","ARHGAP17;AF258560","TAD_1189"
"ARHGAP19","ARHGAP19","TAD_1364"
"ARHGAP28","ARHGAP28","TAD_1325"
"ARHGAP31","ARHGAP31","TAD_2170"
"ARHGAP32","ARHGAP32","TAD_1596"
"ARHGAP33","ARHGAP33","TAD_1776"
"ARHGAP35","ARHGAP35","TAD_117"
"ARHGAP4","ARHGAP4","TAD_3234"
"ARHGDIA","ARHGDIA","TAD_2826"
"ARHGDIB","ARHGDIB","TAD_2532"
"ARHGEF10","ARHGEF10","TAD_910"
"ARHGEF10L","ARHGEF10L","TAD_3306"
"ARHGEF17","ARHGEF17","TAD_83"
"ARHGEF19","ARHGEF19","TAD_3417"
"ARHGEF2","ARHGEF2","TAD_1780"
"ARHGEF25","ARHGEF25","TAD_2174"
"ARHGEF3","ARHGEF3","TAD_1356"
"ARHGEF33","ARHGEF33","TAD_1909"
"ARHGEF37","ARHGEF37","TAD_1826"
"ARHGEF4","ARHGEF4","TAD_2888"
"ARHGEF40","ARHGEF40","TAD_1140"
"ARHGEF6","ARHGEF6","TAD_320"
"ARHGEF9","ARHGEF9","TAD_1423"
"ARID2","ARID2","TAD_271"
"ARID3A","ARID3A","TAD_223"
"ARID3B","ARID3B","TAD_201"
"ARID4A","ARID4A","TAD_1441"
"ARID5B","ARID5B","TAD_2428"
"ARIH2","ARIH2","TAD_774"
"ARL13B","ARL13B","TAD_47"
"ARL14","ARL14","TAD_2050"
"ARL15","ARL15","TAD_3012"
"ARL2","ARL2","TAD_1871"
"ARL2BP","ARL2BP","TAD_790"
"ARL4A","ARL4A","TAD_902"
"ARL4C","ARL4C","TAD_3274"
"ARL9","ARL9","TAD_1987"
